zone,borough,trip_count,avg_tip,tip_percentage,avg_fare,fare_to_tip_ratio,zone_category
West Concourse,Bronx,329,3.91,19.92,21.88,11.35,Residential,3
Saint Michaels Cemetery/Woodside,Queens,3,3.93,24.67,20.22,5.42,Residential,3
Woodlawn/Wakefield,Bronx,284,3.98,22.89,21.1,9.51,Residential,3
Crown Heights North,Brooklyn,1982,3.98,19.28,22.24,14.5,Residential,3
Queensboro Hill,Queens,210,4.05,19.94,21.8,16.8,Residential,3
Sunnyside,Queens,1209,4.07,20.69,21.23,7.03,Residential,3
Crotona Park East,Bronx,129,4.07,20.84,21.17,6.77,Residential,3
Astoria,Queens,1960,4.08,21.31,21.08,6.29,Residential,3
Bushwick South,Brooklyn,1966,4.1,19.65,22.24,8.23,Residential,3
Kew Gardens Hills,Queens,278,4.11,18.98,23.68,6.93,Residential,3
Coney Island,Brooklyn,318,4.14,19.75,24.01,26.36,Residential,3
Country Club,Bronx,47,4.16,23.83,19.84,5.87,Residential,3
Ridgewood,Queens,1135,4.18,20.84,21.71,7.34,Residential,3
Dyker Heights,Brooklyn,373,4.2,22.05,21.68,6.39,Residential,3
Port Richmond,Staten Island,92,4.22,21.9,22.91,6.67,Residential,3
Pelham Bay,Bronx,152,4.34,23.86,21.0,6.01,Residential,3
East Harlem North,Manhattan,890,4.36,21.44,22.61,10.69,Residential,3
Sunset Park West,Brooklyn,920,4.43,19.87,24.59,6.7,Residential,3
College Point,Queens,182,4.47,20.32,24.46,6.55,Residential,3
West Brighton,Staten Island,149,4.51,23.65,24.03,6.55,Residential,3
Marine Park/Floyd Bennett Field,Brooklyn,14,4.57,18.8,28.97,6.35,Residential,3
Crotona Park,Bronx,13,4.58,16.36,32.14,9.16,Residential,3
Flatbush/Ditmas Park,Brooklyn,1153,4.63,20.86,23.99,9.43,Residential,3
Long Island City/Hunters Point,Queens,1592,4.7,20.41,25.16,7.45,Residential,3
Marine Park/Mill Basin,Brooklyn,366,4.8,21.56,24.86,8.92,Residential,3
Williamsburg (South Side),Brooklyn,1564,4.81,18.99,26.85,7.46,Residential,3
Bloomingdale,Manhattan,297,4.88,20.6,25.66,6.15,Residential,3
Outside of NYC,N/A,1,5.0,15.1,33.12,6.62,Residential,3
Washington Heights South,Manhattan,1134,5.08,20.17,26.37,6.46,Residential,3
Morningside Heights,Manhattan,987,5.21,20.95,27.37,6.36,Residential,3
Red Hook,Brooklyn,365,5.22,19.11,29.49,11.68,Residential,3
Lincoln Square West,Manhattan,1189,5.36,20.39,28.36,7.31,Residential,3
Riverdale/North Riverdale/Fieldston,Bronx,407,5.46,20.76,28.71,6.25,Residential,3
East Village,Manhattan,2930,5.49,20.19,28.42,6.46,Residential,3
Lower East Side,Manhattan,2001,5.51,20.21,29.32,6.42,Residential,3
Upper West Side North,Manhattan,1382,5.57,20.72,28.86,6.1,Residential,3
Roosevelt Island,Manhattan,167,5.73,18.04,32.69,6.86,Residential,3
Flushing Meadows-Corona Park,Queens,103,5.87,19.45,31.95,7.07,Residential,3
Flatiron,Manhattan,1570,6.02,21.14,31.15,7.47,Residential,3
UN/Turtle Bay South,Manhattan,1348,6.07,20.53,31.33,6.55,Residential,3
Upper East Side South,Manhattan,2206,6.16,20.91,32.41,6.16,Residential,3
TriBeCa/Civic Center,Manhattan,2669,6.53,19.92,35.33,6.77,Residential,3
Murray Hill,Manhattan,2330,6.61,21.17,33.53,7.51,Residential,3
Midtown East,Manhattan,2466,7.4,20.61,38.36,9.63,Residential,3
World Trade Center,Manhattan,1078,7.61,19.8,40.42,6.06,Residential,3
Willets Point,Queens,2,10.49,12.48,87.25,8.02,Residential,3
LaGuardia Airport,Queens,6849,11.56,19.71,60.46,5.94,Airport,3
Freshkills Park,Staten Island,5,2.86,28.56,10.91,3.8,Residential,3
Homecrest,Brooklyn,442,3.11,18.88,18.25,7.27,Residential,3
Bensonhurst East,Brooklyn,439,3.61,19.98,20.4,10.55,Residential,3
Morrisania/Melrose,Bronx,164,3.61,19.31,20.92,7.36,Residential,3
Elmhurst,Queens,972,3.62,20.49,19.85,9.08,Residential,3
Claremont/Bathgate,Bronx,167,3.63,18.94,21.03,7.46,Residential,3
South Ozone Park,Queens,635,3.68,21.31,19.5,13.45,Residential,3
University Heights/Morris Heights,Bronx,274,3.68,19.91,20.37,16.22,Residential,3
East Flushing,Queens,148,3.71,22.09,18.56,6.2,Residential,3
Brownsville,Brooklyn,281,3.74,21.06,21.25,24.32,Residential,3
Bath Beach,Brooklyn,194,3.76,20.1,21.35,6.72,Residential,3
Queensbridge/Ravenswood,Queens,198,3.77,19.81,21.64,7.32,Residential,3
Murray Hill-Queens,Queens,335,3.78,19.41,21.3,8.25,Residential,3
Ozone Park,Queens,175,3.79,21.19,20.04,6.59,Residential,3
Highbridge,Bronx,191,3.83,20.18,22.5,7.09,Residential,3
Melrose South,Bronx,275,3.84,20.66,20.94,13.0,Residential,3
Mariners Harbor,Staten Island,132,3.89,20.51,20.35,6.75,Residential,3
Springfield Gardens South,Queens,158,3.94,21.65,20.7,6.46,Residential,3
Longwood,Bronx,123,3.94,21.3,20.98,6.18,Residential,3
Rego Park,Queens,436,3.96,20.11,20.86,6.67,Residential,3
Kingsbridge Heights,Bronx,186,3.97,21.23,21.32,18.69,Residential,3
Cambria Heights,Queens,106,3.97,20.08,22.96,6.68,Residential,3
Flatlands,Brooklyn,516,4.04,21.0,21.69,13.56,Residential,3
Briarwood/Jamaica Hills,Queens,345,4.07,20.77,21.51,6.62,Residential,3
Stuyvesant Heights,Brooklyn,1284,4.09,19.91,22.48,8.18,Residential,3
Hunts Point,Bronx,214,4.14,21.47,21.65,6.97,Residential,3
Jackson Heights,Queens,1048,4.14,20.4,21.99,7.02,Residential,3
Prospect-Lefferts Gardens,Brooklyn,1047,4.17,19.63,22.84,6.76,Residential,3
Van Cortlandt Park,Bronx,51,4.18,22.84,21.38,6.31,Residential,3
Springfield Gardens North,Queens,196,4.21,22.73,21.73,10.96,Residential,3
Forest Hills,Queens,1364,4.22,21.11,22.12,6.44,Residential,3
Queens Village,Queens,279,4.22,21.83,22.5,10.74,Residential,3
Mott Haven/Port Morris,Bronx,447,4.25,20.7,22.24,6.59,Residential,3
Westerleigh,Staten Island,148,4.28,23.0,20.9,6.0,Residential,3
Erasmus,Brooklyn,320,4.3,19.32,25.02,7.01,Residential,3
Highbridge Park,Manhattan,15,4.31,24.25,21.3,5.37,Residential,3
East Williamsburg,Brooklyn,1464,4.33,19.79,23.41,7.67,Residential,3
New Dorp/Midland Beach,Staten Island,139,4.53,22.15,23.34,5.87,Residential,3
Arrochar/Fort Wadsworth,Staten Island,84,4.61,23.24,24.09,5.99,Residential,3
Prospect Park,Brooklyn,157,4.64,20.7,24.6,6.4,Residential,3
Spuyten Duyvil/Kingsbridge,Bronx,582,4.66,22.33,23.54,6.12,Residential,3
Central Harlem,Manhattan,1096,4.69,20.86,24.58,10.2,Residential,3
Baisley Park,Queens,297,4.76,20.77,25.05,10.14,Residential,3
Windsor Terrace,Brooklyn,454,4.77,21.73,24.11,6.04,Residential,3
Williamsburg (North Side),Brooklyn,2004,4.97,19.56,27.29,6.51,Residential,3
Stuy Town/Peter Cooper Village,Manhattan,485,5.04,20.32,26.38,6.03,Residential,3
Boerum Hill,Brooklyn,1382,5.08,19.93,27.69,6.43,Residential,3
City Island,Bronx,31,5.34,19.23,32.6,6.55,Residential,3
Chinatown,Manhattan,605,5.43,20.17,29.08,6.08,Residential,3
Lenox Hill West,Manhattan,1623,5.61,20.92,29.18,8.45,Residential,3
Arden Heights,Staten Island,72,5.7,22.57,28.3,5.49,Residential,3
Little Italy/NoLiTa,Manhattan,1565,5.72,19.53,30.51,7.61,Residential,3
Greenwich Village North,Manhattan,1587,5.77,20.41,30.0,6.11,Residential,3
Gramercy,Manhattan,1746,5.84,20.45,29.81,6.33,Residential,3
Inwood Hill Park,Manhattan,47,5.96,26.79,25.11,6.02,Residential,3
Upper West Side South,Manhattan,1951,6.01,20.6,31.19,7.3,Residential,3
Clinton East,Manhattan,2464,6.03,21.23,30.92,8.47,Residential,3
Upper East Side North,Manhattan,2046,6.04,20.22,32.01,8.26,Residential,3
East Elmhurst,Queens,355,6.05,20.56,32.99,9.09,Residential,3
Union Sq,Manhattan,2531,6.26,20.3,32.61,7.31,Residential,3
Bronx Park,Bronx,58,6.49,23.21,31.6,5.3,Residential,3
Penn Station/Madison Sq West,Manhattan,1629,6.74,20.6,35.15,6.57,Residential,3
Broad Channel,Queens,14,6.82,26.88,29.46,5.19,Residential,3
East Chelsea,Manhattan,3031,6.92,20.57,35.56,5.9,Residential,3
Financial District North,Manhattan,1334,7.5,19.81,39.85,6.16,Business,3
Breezy Point/Fort Tilden/Riis Beach,Queens,18,7.71,23.14,38.65,5.28,Residential,3
Brownsville,Brooklyn,251,3.46,19.32,19.85,27.12,Residential,8
University Heights/Morris Heights,Bronx,195,3.61,19.68,20.81,18.07,Residential,8
Elmhurst,Queens,932,3.62,20.57,19.81,7.87,Residential,8
Homecrest,Brooklyn,344,3.7,20.45,20.57,6.79,Residential,8
Ozone Park,Queens,166,3.72,18.97,21.47,7.19,Residential,8
Morrisania/Melrose,Bronx,177,3.78,19.92,20.71,6.65,Residential,8
