zone,borough,trip_count,avg_tip,tip_percentage,avg_fare,fare_to_tip_ratio,zone_category
Seaport,Manhattan,531,6.61,19.91,35.22,6.11,Residential,8
Midtown South,Manhattan,2613,6.61,20.56,34.35,6.08,Residential,8
Garment District,Manhattan,1561,7.04,20.39,37.03,6.13,Residential,8
Financial District South,Manhattan,636,7.08,19.48,38.94,6.4,Business,8
Battery Park City,Manhattan,1033,7.18,18.96,39.12,6.24,Residential,8
Midtown North,Manhattan,2252,7.33,20.28,38.89,6.76,Residential,8
Midtown Center,Manhattan,3192,7.36,20.12,39.2,6.47,Residential,8
JFK Airport,Queens,5668,13.51,17.58,78.95,12.29,Airport,8
Borough Park,Brooklyn,617,3.06,16.76,19.53,9.69,Residential,3
Astoria Park,Queens,6,3.06,20.96,16.42,6.34,Residential,3
Bedford Park,Bronx,329,3.48,20.64,18.55,7.61,Residential,3
Canarsie,Brooklyn,444,3.49,20.49,19.49,6.93,Residential,3
Gravesend,Brooklyn,218,3.57,21.06,19.74,12.37,Residential,3
Cypress Hills,Brooklyn,245,3.64,18.04,21.25,7.29,Residential,3
East Flatbush/Farragut,Brooklyn,351,3.66,20.57,20.33,17.62,Residential,3
Brighton Beach,Brooklyn,320,3.68,19.71,20.17,6.85,Residential,3
Parkchester,Bronx,243,3.7,22.12,19.6,11.64,Residential,3
Fordham South,Bronx,107,3.7,21.55,19.82,10.54,Residential,3
Midwood,Brooklyn,495,3.72,18.83,22.04,7.37,Residential,3
Woodhaven,Queens,332,3.75,20.36,20.1,16.76,Residential,3
Jamaica,Queens,753,3.77,20.24,21.0,8.02,Residential,3
East Concourse/Concourse Village,Bronx,326,3.79,20.2,21.2,7.0,Residential,3
Sheepshead Bay,Brooklyn,497,3.87,21.28,21.25,6.56,Residential,3
Rosedale,Queens,138,3.87,20.53,20.95,6.72,Residential,3
Williamsbridge/Olinville,Bronx,297,3.87,19.58,21.64,10.23,Residential,3
Mount Hope,Bronx,277,3.87,20.35,21.31,6.83,Residential,3
Saint George/New Brighton,Staten Island,323,3.93,21.27,21.15,7.13,Residential,3
Kew Gardens,Queens,451,3.98,20.68,21.77,6.56,Residential,3
West Farms/Bronx River,Bronx,150,4.03,19.94,22.24,12.37,Residential,3
Hillcrest/Pomonok,Queens,321,4.04,18.95,22.82,18.49,Residential,3
Stapleton,Staten Island,218,4.08,22.92,19.71,14.96,Residential,3
Flushing,Queens,888,4.11,20.48,22.52,8.46,Residential,3
Co-Op City,Bronx,378,4.13,20.88,22.41,8.19,Residential,3
Jamaica Estates,Queens,242,4.13,20.56,22.86,7.51,Residential,3
Great Kills,Staten Island,166,4.14,22.66,22.24,6.22,Residential,3
Forest Park/Highland Park,Queens,12,4.2,20.34,22.13,6.14,Residential,3
Oakwood,Staten Island,86,4.27,21.97,24.02,6.62,Residential,3
Steinway,Queens,1068,4.27,22.19,21.53,8.44,Residential,3
Heartland Village/Todt Hill,Staten Island,212,4.28,20.22,24.81,6.9,Residential,3
Inwood,Manhattan,409,4.3,20.77,22.56,6.42,Residential,3
Starrett City,Brooklyn,84,4.33,22.46,23.62,6.45,Residential,3
Douglaston,Queens,142,4.39,21.06,24.73,6.45,Residential,3
Long Island City/Queens Plaza,Queens,495,4.48,20.47,23.7,6.45,Residential,3
Central Harlem North,Manhattan,1033,4.5,20.67,23.72,8.5,Residential,3
Bayside,Queens,415,4.52,23.56,22.17,6.11,Residential,3
Bay Ridge,Brooklyn,1147,4.58,23.2,23.22,5.87,Residential,3
Fort Greene,Brooklyn,1295,4.58,19.65,25.11,8.84,Residential,3
Belmont,Bronx,292,4.62,19.69,25.3,6.98,Residential,3
Greenpoint,Brooklyn,2047,4.66,20.44,24.15,6.53,Residential,3
Prospect Heights,Brooklyn,939,4.71,19.83,25.81,6.51,Residential,3
Oakland Gardens,Queens,160,4.73,18.43,27.57,7.01,Residential,3
Brooklyn Navy Yard,Brooklyn,186,4.74,20.58,24.59,6.62,Residential,3
Bellerose,Queens,126,4.79,20.52,25.55,7.91,Residential,3
Hammels/Arverne,Queens,164,4.8,27.41,25.15,8.58,Residential,3
South Beach/Dongan Hills,Staten Island,156,4.95,21.77,25.56,9.64,Residential,3
Cobble Hill,Brooklyn,440,5.01,19.66,27.55,15.97,Residential,3
East Harlem South,Manhattan,1067,5.02,21.35,26.35,9.25,Residential,3
Kips Bay,Manhattan,1037,5.05,20.58,25.83,9.14,Residential,3
Carroll Gardens,Brooklyn,611,5.06,19.92,27.43,6.42,Residential,3
Columbia Street,Brooklyn,157,5.1,18.82,28.07,6.41,Residential,3
Whitestone,Queens,208,5.21,22.32,26.8,6.22,Residential,3
DUMBO/Vinegar Hill,Brooklyn,772,5.21,18.51,29.89,18.36,Residential,3
Glen Oaks,Queens,165,5.24,18.75,29.65,6.88,Residential,3
Downtown Brooklyn/MetroTech,Brooklyn,1106,5.24,19.25,28.88,6.62,Business,3
Clinton West,Manhattan,1267,5.38,20.93,27.83,7.55,Residential,3
Marble Hill,Manhattan,85,5.51,27.48,23.03,5.73,Residential,3
Lenox Hill East,Manhattan,1477,5.68,20.93,29.15,6.04,Residential,3
West Chelsea/Hudson Yards,Manhattan,2567,6.46,19.95,33.85,6.11,Residential,3
Hudson Sq,Manhattan,856,6.58,20.41,34.25,6.89,Residential,3
Randalls Island,Manhattan,20,6.83,23.32,33.25,201.32,Residential,3
Battery Park,Manhattan,39,7.01,21.71,35.18,6.56,Residential,3
Times Sq/Theatre District,Manhattan,4200,7.69,21.24,39.41,8.87,Tourist,3
Van Cortlandt Park,Bronx,71,3.13,20.14,18.49,7.75,Residential,11
Freshkills Park,Staten Island,4,3.25,42.3,11.94,3.69,Residential,11
Claremont/Bathgate,Bronx,151,3.44,20.7,18.64,18.45,Residential,11
University Heights/Morris Heights,Bronx,204,3.48,20.15,20.84,36.13,Residential,11
Elmhurst,Queens,940,3.52,20.62,18.95,6.7,Residential,11
Brownsville,Brooklyn,279,3.54,22.14,18.76,7.08,Residential,11
Morrisania/Melrose,Bronx,193,3.57,19.77,20.38,17.26,Residential,11
Broad Channel,Queens,15,3.63,20.43,18.93,7.13,Residential,11
Bensonhurst East,Brooklyn,409,3.64,20.89,19.82,12.41,Residential,11
Kingsbridge Heights,Bronx,195,3.67,21.16,19.89,6.89,Residential,11
Springfield Gardens North,Queens,161,3.73,21.04,21.15,6.95,Residential,11
Homecrest,Brooklyn,375,3.75,19.39,21.25,7.3,Residential,11
Hunts Point,Bronx,200,3.8,20.85,20.46,14.8,Residential,11
Flatlands,Brooklyn,463,3.82,20.35,21.91,7.53,Residential,11
South Ozone Park,Queens,655,3.83,19.56,21.89,10.96,Residential,11
East Flushing,Queens,170,3.85,19.81,21.26,6.51,Residential,11
Springfield Gardens South,Queens,134,3.94,20.85,22.03,7.15,Residential,11
Bath Beach,Brooklyn,200,3.94,20.94,22.76,6.78,Residential,11
Melrose South,Bronx,258,3.99,21.86,20.46,6.23,Residential,11
Longwood,Bronx,122,4.01,19.3,22.96,13.21,Residential,11
Briarwood/Jamaica Hills,Queens,346,4.01,21.36,21.48,10.84,Residential,11
Ozone Park,Queens,168,4.02,22.2,20.25,6.36,Residential,11
Rego Park,Queens,431,4.1,21.65,20.98,6.41,Residential,11
Mott Haven/Port Morris,Bronx,405,4.1,19.47,22.37,7.32,Residential,11
Murray Hill-Queens,Queens,301,4.15,21.85,21.56,6.44,Residential,11
Stuyvesant Heights,Brooklyn,1166,4.18,19.22,23.65,6.96,Residential,11
Forest Hills,Queens,1461,4.2,20.84,22.33,6.34,Residential,11
Jackson Heights,Queens,1089,4.2,20.91,21.54,6.61,Residential,11
Queensbridge/Ravenswood,Queens,221,4.22,21.68,22.82,6.76,Residential,11
Queens Village,Queens,239,4.24,20.62,23.3,7.5,Residential,11
Mariners Harbor,Staten Island,142,4.31,22.86,21.81,6.28,Residential,11
Highbridge,Bronx,188,4.33,21.83,22.95,6.46,Residential,11
Prospect-Lefferts Gardens,Brooklyn,1020,4.4,19.93,23.97,12.6,Residential,11
Erasmus,Brooklyn,326,4.52,20.96,23.72,6.32,Residential,11
Prospect Park,Brooklyn,141,4.53,20.72,23.2,6.29,Residential,11
East Williamsburg,Brooklyn,1440,4.54,19.57,24.94,7.62,Residential,11
Windsor Terrace,Brooklyn,420,4.59,20.42,24.47,7.13,Residential,11
Arrochar/Fort Wadsworth,Staten Island,78,4.73,24.22,22.7,5.54,Residential,11
Spuyten Duyvil/Kingsbridge,Bronx,583,4.84,23.52,23.44,5.72,Residential,11
Westerleigh,Staten Island,164,4.88,23.78,21.63,5.85,Residential,11
Baisley Park,Queens,310,4.92,18.87,28.89,27.96,Residential,11
New Dorp/Midland Beach,Staten Island,124,4.93,23.63,23.74,6.31,Residential,11
Central Harlem,Manhattan,1113,4.94,21.52,25.87,7.98,Residential,11
Boerum Hill,Brooklyn,1339,4.99,19.79,27.29,6.62,Residential,11
Arden Heights,Staten Island,78,5.0,23.62,25.59,5.95,Residential,11
Cambria Heights,Queens,106,5.1,22.17,27.49,6.33,Residential,11
Williamsburg (North Side),Brooklyn,1911,5.23,19.3,28.61,7.48,Residential,11
Stuy Town/Peter Cooper Village,Manhattan,449,5.31,20.39,27.34,6.1,Residential,11
Chinatown,Manhattan,545,5.5,19.7,29.94,10.51,Residential,11
Bronx Park,Bronx,84,5.55,19.74,30.88,6.61,Residential,11
Inwood Hill Park,Manhattan,48,5.61,19.89,29.91,6.61,Residential,11
Highbridge Park,Manhattan,18,5.63,21.14,28.55,5.7,Residential,11
Lenox Hill West,Manhattan,1543,5.95,21.15,31.02,5.92,Residential,11
Greenwich Village North,Manhattan,1478,6.1,20.18,32.44,9.83,Residential,11
Upper East Side North,Manhattan,1978,6.15,19.76,33.35,6.23,Residential,11
Little Italy/NoLiTa,Manhattan,1492,6.17,19.35,33.61,9.55,Residential,11
Gramercy,Manhattan,1681,6.17,20.2,32.48,6.18,Residential,11
Upper West Side South,Manhattan,1956,6.32,20.82,32.9,6.09,Residential,11
City Island,Bronx,29,6.48,16.56,40.01,6.89,Residential,11
Clinton East,Manhattan,2360,6.64,21.09,34.58,8.74,Residential,11
East Elmhurst,Queens,358,6.87,21.05,36.59,6.19,Residential,11
Union Sq,Manhattan,2291,7.03,19.88,37.41,10.55,Residential,11
Penn Station/Madison Sq West,Manhattan,1566,7.37,21.54,37.18,9.01,Residential,11
East Chelsea,Manhattan,2930,7.43,20.01,39.34,6.85,Residential,11
Financial District North,Manhattan,1346,7.68,19.12,41.95,6.33,Business,11
Breezy Point/Fort Tilden/Riis Beach,Queens,10,8.6,17.03,44.75,6.59,Residential,11
Homecrest,Brooklyn,399,3.43,19.88,19.39,7.13,Residential,5
Springfield Gardens North,Queens,184,3.67,19.78,20.9,9.41,Residential,5
Ozone Park,Queens,191,3.78,21.33,19.7,23.53,Residential,5
Bensonhurst East,Brooklyn,416,3.82,20.11,20.49,6.67,Residential,5
East Flushing,Queens,159,3.87,19.93,21.87,6.68,Residential,5
Elmhurst,Queens,845,3.9,21.48,19.82,6.45,Residential,5
Morrisania/Melrose,Bronx,158,3.98,20.16,21.21,6.65,Residential,5
Briarwood/Jamaica Hills,Queens,314,4.03,20.26,21.69,15.71,Residential,5
Brownsville,Brooklyn,244,4.04,20.98,22.42,13.84,Residential,5
Rego Park,Queens,431,4.06,21.36,21.11,6.26,Residential,5
Kingsbridge Heights,Bronx,173,4.1,21.37,21.52,6.61,Residential,5
Longwood,Bronx,126,4.11,24.55,19.71,5.73,Residential,5
Mariners Harbor,Staten Island,139,4.12,22.89,20.85,6.04,Residential,5
South Ozone Park,Queens,610,4.13,21.57,21.47,8.52,Residential,5
Murray Hill-Queens,Queens,311,4.21,23.18,20.37,5.83,Residential,5
Queens Village,Queens,299,4.25,20.74,23.22,13.69,Residential,5
Bath Beach,Brooklyn,174,4.27,21.82,21.99,6.05,Residential,5
Melrose South,Bronx,302,4.28,21.54,21.32,6.28,Residential,5
Claremont/Bathgate,Bronx,151,4.29,20.47,23.17,6.8,Residential,5
Erasmus,Brooklyn,282,4.33,20.49,22.75,6.45,Residential,5
Westerleigh,Staten Island,155,4.35,20.91,21.6,6.25,Residential,5
Jackson Heights,Queens,1089,4.35,20.58,22.58,7.76,Residential,5
University Heights/Morris Heights,Bronx,225,4.37,23.21,20.47,22.48,Residential,5
Stuyvesant Heights,Brooklyn,1222,4.37,19.87,23.53,19.47,Residential,5
Flatlands,Brooklyn,485,4.41,22.58,22.68,10.97,Residential,5
Queensbridge/Ravenswood,Queens,201,4.46,20.72,24.6,6.71,Residential,5
New Dorp/Midland Beach,Staten Island,141,4.51,23.17,23.0,6.01,Residential,5
Baisley Park,Queens,312,4.57,19.44,25.09,19.02,Residential,5
Arrochar/Fort Wadsworth,Staten Island,91,4.58,25.56,20.42,5.27,Residential,5
Mott Haven/Port Morris,Bronx,421,4.6,21.91,22.98,9.18,Residential,5
Hunts Point,Bronx,193,4.64,19.64,25.43,7.0,Residential,5
Prospect-Lefferts Gardens,Brooklyn,987,4.7,20.0,25.3,10.44,Residential,5
Freshkills Park,Staten Island,8,4.76,39.99,16.51,4.6,Residential,5
Prospect Park,Brooklyn,195,4.81,20.79,24.93,6.21,Residential,5
East Williamsburg,Brooklyn,1606,4.83,20.45,24.95,8.1,Residential,5
Forest Hills,Queens,1437,4.84,22.28,24.25,6.04,Residential,5
Highbridge Park,Manhattan,20,4.88,21.74,25.22,7.32,Residential,5
Spuyten Duyvil/Kingsbridge,Bronx,548,5.04,22.43,25.84,5.89,Residential,5
Central Harlem,Manhattan,1045,5.15,20.86,27.08,6.44,Residential,5
Windsor Terrace,Brooklyn,424,5.17,21.29,26.23,6.02,Residential,5
Van Cortlandt Park,Bronx,68,5.26,22.61,24.41,6.04,Residential,5
Williamsburg (North Side),Brooklyn,2035,5.51,20.41,28.81,6.24,Residential,5
Springfield Gardens South,Queens,125,5.59,21.86,28.25,6.42,Residential,5
Boerum Hill,Brooklyn,1403,5.63,20.39,29.37,6.15,Residential,5
Inwood Hill Park,Manhattan,59,5.64,20.01,29.15,6.56,Residential,5
Arden Heights,Staten Island,43,5.72,21.51,28.28,6.34,Residential,5
Highbridge,Bronx,190,5.8,21.57,29.2,6.53,Residential,5
Cambria Heights,Queens,102,5.81,22.04,29.59,14.84,Residential,5
Chinatown,Manhattan,568,5.83,21.46,29.35,5.75,Residential,5
City Island,Bronx,32,5.88,19.47,31.82,5.99,Residential,5
Stuy Town/Peter Cooper Village,Manhattan,479,6.05,21.47,30.3,5.75,Residential,5
Bronx Park,Bronx,72,6.05,21.63,31.63,6.06,Residential,5
Lenox Hill West,Manhattan,1554,6.11,21.36,30.81,5.87,Residential,5
Gramercy,Manhattan,1755,6.24,21.54,31.05,8.25,Residential,5
Little Italy/NoLiTa,Manhattan,1612,6.33,20.51,32.81,5.96,Residential,5
East Elmhurst,Queens,386,6.56,22.23,32.9,12.49,Residential,5
Broad Channel,Queens,15,6.69,29.87,28.75,4.43,Residential,5
Upper West Side South,Manhattan,1898,6.69,21.61,33.52,5.73,Residential,5
Greenwich Village North,Manhattan,1536,6.69,20.88,33.9,8.07,Residential,5
Upper East Side North,Manhattan,2158,6.74,21.18,34.19,6.28,Residential,5
Breezy Point/Fort Tilden/Riis Beach,Queens,13,6.76,22.03,33.27,5.31,Residential,5
Union Sq,Manhattan,2646,6.95,21.46,34.87,9.17,Residential,5
Clinton East,Manhattan,2443,7.0,21.56,34.94,5.78,Residential,5
East Chelsea,Manhattan,3069,7.85,20.98,40.42,7.99,Residential,5
Financial District North,Manhattan,1523,7.87,19.97,42.24,6.04,Business,5
Penn Station/Madison Sq West,Manhattan,1637,7.92,20.94,40.67,5.89,Residential,5
Freshkills Park,Staten Island,7,2.67,26.6,11.57,5.11,Residential,7
Homecrest,Brooklyn,363,3.48,20.35,18.72,7.08,Residential,7
Brownsville,Brooklyn,248,3.54,20.81,19.51,12.28,Residential,7
Springfield Gardens North,Queens,187,3.57,18.4,21.45,13.43,Residential,7
University Heights/Morris Heights,Bronx,207,3.59,20.51,19.9,6.8,Residential,7
Morrisania/Melrose,Bronx,189,3.6,19.91,20.88,7.25,Residential,7
Kingsbridge Heights,Bronx,153,3.67,20.65,19.17,33.13,Residential,7
Highbridge Park,Manhattan,23,3.71,22.39,18.86,6.21,Residential,7
Longwood,Bronx,141,3.8,20.42,21.41,6.96,Residential,7
Elmhurst,Queens,934,3.84,20.11,20.52,6.7,Residential,7
East Flushing,Queens,164,3.85,19.51,21.76,6.69,Residential,7
Claremont/Bathgate,Bronx,153,3.9,21.16,21.48,7.39,Residential,7
Briarwood/Jamaica Hills,Queens,328,3.94,20.32,21.19,6.7,Residential,7
Murray Hill-Queens,Queens,338,3.99,21.79,21.02,6.27,Residential,7
Van Cortlandt Park,Bronx,78,4.0,22.38,19.46,6.42,Residential,7
Jackson Heights,Queens,1095,4.02,20.6,21.32,6.61,Residential,7
Hunts Point,Bronx,188,4.03,22.24,20.43,15.16,Residential,7
Rego Park,Queens,403,4.03,21.78,20.75,6.31,Residential,7
South Ozone Park,Queens,674,4.04,20.54,21.73,12.83,Residential,7
Ozone Park,Queens,173,4.06,22.25,20.67,6.76,Residential,7
Flatlands,Brooklyn,471,4.07,21.32,21.77,6.53,Residential,7
Bensonhurst East,Brooklyn,345,4.12,21.42,21.53,6.65,Residential,7
Melrose South,Bronx,283,4.16,21.33,22.12,20.65,Residential,7
Forest Hills,Queens,1335,4.17,21.37,22.15,8.81,Residential,7
Bath Beach,Brooklyn,175,4.17,20.77,22.36,6.35,Residential,7
Erasmus,Brooklyn,288,4.21,21.07,22.93,30.83,Residential,7
Queens Village,Queens,320,4.26,21.14,23.62,17.58,Residential,7
Stuyvesant Heights,Brooklyn,1228,4.31,20.02,23.37,8.19,Residential,7
Cambria Heights,Queens,112,4.31,19.02,27.36,7.05,Residential,7
Mariners Harbor,Staten Island,169,4.36,25.07,19.9,5.91,Residential,7
Mott Haven/Port Morris,Bronx,447,4.37,20.2,23.17,6.75,Residential,7
East Williamsburg,Brooklyn,1431,4.47,19.55,24.18,7.95,Residential,7
Prospect-Lefferts Gardens,Brooklyn,1005,4.48,20.42,23.58,6.52,Residential,7
Prospect Park,Brooklyn,152,4.56,20.09,25.34,6.74,Residential,7
Queensbridge/Ravenswood,Queens,239,4.59,21.27,25.02,6.34,Residential,7
Baisley Park,Queens,345,4.63,19.56,25.39,9.08,Residential,7
Springfield Gardens South,Queens,179,4.66,20.12,25.54,19.81,Residential,7
Windsor Terrace,Brooklyn,370,4.68,20.84,24.67,6.03,Residential,7
Spuyten Duyvil/Kingsbridge,Bronx,537,4.72,22.19,23.18,6.08,Residential,7
Central Harlem,Manhattan,1127,4.75,20.86,25.05,7.44,Residential,7
Arrochar/Fort Wadsworth,Staten Island,93,4.75,23.74,24.39,6.19,Residential,7
New Dorp/Midland Beach,Staten Island,148,4.79,22.71,25.81,6.01,Residential,7
Arden Heights,Staten Island,91,4.82,23.31,23.28,5.57,Residential,7
Inwood Hill Park,Manhattan,49,4.87,20.9,24.09,6.34,Residential,7
Boerum Hill,Brooklyn,1202,5.0,20.64,26.73,6.31,Residential,7
Stuy Town/Peter Cooper Village,Manhattan,470,5.13,20.85,25.91,5.99,Residential,7
Williamsburg (North Side),Brooklyn,1977,5.15,19.96,27.71,9.16,Residential,7
Highbridge,Bronx,210,5.2,17.73,29.95,18.43,Residential,7
Westerleigh,Staten Island,153,5.23,25.09,24.19,5.95,Residential,7
Chinatown,Manhattan,605,5.33,20.63,28.4,6.31,Residential,7
East Elmhurst,Queens,384,5.37,21.4,28.54,7.26,Residential,7
Gramercy,Manhattan,1636,5.57,21.47,27.54,6.0,Residential,7
Little Italy/NoLiTa,Manhattan,1596,5.59,19.91,30.12,8.39,Residential,7
Lenox Hill West,Manhattan,1440,5.71,21.33,29.28,5.96,Residential,7
Union Sq,Manhattan,2416,5.74,20.61,29.58,7.67,Residential,7
Greenwich Village North,Manhattan,1417,5.76,21.37,29.64,6.1,Residential,7
Broad Channel,Queens,25,5.78,23.55,27.79,5.27,Residential,7
Upper West Side South,Manhattan,1717,5.82,21.56,29.14,5.88,Residential,7
Clinton East,Manhattan,2456,6.04,21.18,31.07,7.41,Residential,7
Upper East Side North,Manhattan,1824,6.05,20.99,31.28,6.06,Residential,7
Breezy Point/Fort Tilden/Riis Beach,Queens,63,6.08,21.23,32.36,5.96,Residential,7
Penn Station/Madison Sq West,Manhattan,1543,6.34,21.06,32.77,5.96,Residential,7
East Chelsea,Manhattan,3061,6.53,20.56,33.99,7.36,Residential,7
Bronx Park,Bronx,91,6.55,20.27,34.01,7.13,Residential,7
Financial District North,Manhattan,1493,6.85,19.95,37.0,7.36,Business,7
City Island,Bronx,43,7.24,17.75,43.51,6.47,Residential,7
Saint Michaels Cemetery/Woodside,Queens,7,2.41,12.47,19.5,10.01,Residential,2
South Jamaica,Queens,177,3.3,20.8,18.08,6.94,Residential,2
Ocean Parkway South,Brooklyn,143,3.33,17.13,20.9,8.33,Residential,2
Willets Point,Queens,4,3.37,12.97,25.85,8.57,Residential,2
East New York/Pennsylvania Avenue,Brooklyn,143,3.42,20.84,19.15,6.83,Residential,2
South Williamsburg,Brooklyn,135,3.48,19.31,19.98,6.92,Residential,2
East Tremont,Bronx,265,3.5,21.06,18.86,6.83,Residential,2
North Corona,Queens,205,3.51,21.05,18.56,6.49,Residential,2
Port Richmond,Staten Island,91,3.52,20.93,18.23,6.21,Residential,2
East Flatbush/Remsen Village,Brooklyn,286,3.53,20.49,19.17,18.42,Residential,2
Woodside,Queens,743,3.6,21.52,18.4,6.55,Residential,2
Pelham Bay,Bronx,161,3.61,22.2,18.62,7.0,Residential,2
Ocean Hill,Brooklyn,379,3.63,21.17,18.64,6.39,Residential,2
Governor's Island/Ellis Island/Liberty Island,Manhattan,1,3.67,11.38,32.24,8.78,Residential,2
Bensonhurst West,Brooklyn,544,3.69,20.76,19.88,6.73,Residential,2
Saint Albans,Queens,272,3.73,21.15,20.36,6.66,Residential,2
Woodlawn/Wakefield,Bronx,292,3.77,21.56,19.24,6.66,Residential,2
Crotona Park East,Bronx,132,3.78,22.19,18.96,6.38,Residential,2
West Concourse,Bronx,343,3.8,20.9,19.7,13.21,Residential,2
College Point,Queens,164,3.8,17.81,22.95,7.43,Residential,2
Manhattan Beach,Brooklyn,168,3.8,19.3,21.61,6.75,Residential,2
Coney Island,Brooklyn,331,3.81,19.71,22.5,7.51,Residential,2
Norwood,Bronx,351,3.84,20.76,20.17,6.66,Residential,2
Bedford,Brooklyn,1330,3.85,20.1,21.03,7.86,Residential,2
Kew Gardens Hills,Queens,286,3.86,19.46,21.14,6.99,Residential,2
Queensboro Hill,Queens,184,3.86,20.48,20.69,6.47,Residential,2
Ridgewood,Queens,1083,3.88,20.71,20.52,7.07,Residential,2
Crown Heights North,Brooklyn,1907,3.9,20.05,21.02,10.87,Residential,2
Allerton/Pelham Gardens,Bronx,182,3.9,23.27,18.76,6.03,Residential,2
Marine Park/Mill Basin,Brooklyn,384,3.94,19.47,22.4,6.96,Residential,2
Bushwick South,Brooklyn,1871,4.01,20.14,21.33,6.65,Residential,2
Van Nest/Morris Park,Bronx,402,4.03,22.35,20.05,6.41,Residential,2
Laurelton,Queens,143,4.04,24.63,19.86,5.88,Residential,2
Crotona Park,Bronx,9,4.06,16.53,25.78,8.43,Residential,2
Dyker Heights,Brooklyn,363,4.08,21.63,20.58,6.51,Residential,2
East Harlem North,Manhattan,929,4.12,20.93,21.2,7.22,Residential,2
Sunnyside,Queens,1140,4.13,21.43,21.06,6.33,Residential,2
Astoria,Queens,1830,4.13,22.15,20.47,6.61,Residential,2
West Brighton,Staten Island,118,4.32,22.74,21.34,5.79,Residential,2
Flatbush/Ditmas Park,Brooklyn,1070,4.52,21.38,23.29,12.89,Residential,2
Country Club,Bronx,46,4.58,20.4,25.98,6.32,Residential,2
Long Island City/Hunters Point,Queens,1437,4.63,20.97,23.78,7.63,Residential,2
Williamsburg (South Side),Brooklyn,1467,4.66,19.18,25.31,6.74,Residential,2
Bloomingdale,Manhattan,353,4.7,20.63,23.78,6.09,Residential,2
Sunset Park West,Brooklyn,920,4.71,20.76,25.45,6.3,Residential,2
Morningside Heights,Manhattan,1050,4.89,20.97,24.93,7.71,Residential,2
Washington Heights South,Manhattan,1113,4.89,20.78,25.43,6.58,Residential,2
Flushing Meadows-Corona Park,Queens,56,4.9,22.92,25.56,6.25,Residential,2
East Village,Manhattan,2840,5.07,20.54,26.15,6.69,Residential,2
Upper West Side North,Manhattan,1469,5.17,21.19,26.68,7.76,Residential,2
Lower East Side,Manhattan,2114,5.23,20.43,27.42,6.7,Residential,2
Red Hook,Brooklyn,341,5.26,19.03,29.52,6.71,Residential,2
Riverdale/North Riverdale/Fieldston,Bronx,445,5.34,21.43,27.4,6.23,Residential,2
Lincoln Square West,Manhattan,1300,5.34,20.78,27.3,7.44,Residential,2
Roosevelt Island,Manhattan,138,5.35,18.13,30.17,6.8,Residential,2
Upper East Side South,Manhattan,2340,5.66,20.57,29.83,6.15,Residential,2
Flatiron,Manhattan,1630,5.67,21.32,28.73,7.38,Residential,2
UN/Turtle Bay South,Manhattan,1311,5.84,20.77,29.92,6.15,Residential,2
Murray Hill,Manhattan,2363,6.27,21.44,31.65,7.19,Residential,2
TriBeCa/Civic Center,Manhattan,2806,6.28,20.64,32.88,6.11,Residential,2
Marine Park/Floyd Bennett Field,Brooklyn,14,6.75,20.68,34.57,5.84,Residential,2
Midtown East,Manhattan,2380,6.98,20.71,36.24,6.91,Residential,2
Outside of NYC,N/A,2,7.24,25.26,27.82,4.02,Residential,2
World Trade Center,Manhattan,969,7.52,20.16,39.57,10.73,Residential,2
LaGuardia Airport,Queens,6276,11.09,19.8,57.68,5.87,Airport,2
Longwood,Bronx,93,3.3,17.47,20.5,45.84,Residential,10
Claremont/Bathgate,Bronx,135,3.44,21.05,18.7,7.19,Residential,10
Bensonhurst East,Brooklyn,346,3.57,19.83,19.99,6.87,Residential,10
Homecrest,Brooklyn,382,3.58,20.1,19.7,6.99,Residential,10
Hunts Point,Bronx,175,3.67,18.91,21.62,42.76,Residential,10
Freshkills Park,Staten Island,9,3.73,36.87,14.51,3.63,Residential,10
Springfield Gardens North,Queens,174,3.74,19.86,21.33,7.33,Residential,10
Kingsbridge Heights,Bronx,191,3.78,20.3,20.93,11.18,Residential,10
Briarwood/Jamaica Hills,Queens,331,3.78,19.98,21.37,17.99,Residential,10
Elmhurst,Queens,910,3.82,20.18,20.96,8.4,Residential,10
East Flushing,Queens,180,3.83,20.63,20.49,6.81,Residential,10
South Ozone Park,Queens,629,3.84,20.55,21.18,11.61,Residential,10
Brownsville,Brooklyn,239,3.85,23.62,19.44,15.98,Residential,10
Rego Park,Queens,463,3.86,20.15,20.88,6.8,Residential,10
Morrisania/Melrose,Bronx,179,3.89,20.84,20.67,32.51,Residential,10
Murray Hill-Queens,Queens,339,3.91,21.0,21.52,17.98,Residential,10
Ozone Park,Queens,159,3.94,21.13,20.68,24.53,Residential,10
University Heights/Morris Heights,Bronx,203,3.94,19.27,22.79,32.75,Residential,10
Bath Beach,Brooklyn,205,3.94,20.62,21.43,6.77,Residential,10
Jackson Heights,Queens,1150,4.01,20.74,21.2,6.52,Residential,10
Flatlands,Brooklyn,439,4.01,19.67,23.36,7.09,Residential,10
Melrose South,Bronx,234,4.03,20.66,21.83,6.79,Residential,10
Highbridge Park,Manhattan,16,4.08,18.68,24.09,7.02,Residential,10
Springfield Gardens South,Queens,128,4.09,21.08,23.64,8.04,Residential,10
City Island,Bronx,33,4.1,16.21,27.23,8.1,Residential,10
Van Cortlandt Park,Bronx,76,4.16,20.54,23.39,7.18,Residential,10
