zone,trip_count,total_airport_fees,avg_company_profit,avg_driver_income
Greenwich Village North,458,1140.0,40.8,58.58,12
Upper East Side North,530,1315.0,40.9,57.09,12
Penn Station/Madison Sq West,576,1437.5,41.11,57.8,12
East Chelsea,852,2117.5,42.23,60.97,12
Union Sq,617,1535.0,44.02,58.96,12
South Ozone Park,1508,3622.5,6.46,10.74,8
Springfield Gardens North,330,756.25,7.94,13.79,8
Springfield Gardens South,246,567.5,8.07,15.36,8
East Elmhurst,329,776.25,8.2,14.21,8
Jackson Heights,424,1040.0,8.93,20.3,8
Elmhurst,275,666.25,10.28,22.58,8
Baisley Park,466,1110.0,10.38,16.7,8
East Flushing,43,106.25,11.02,28.11,8
Ozone Park,113,272.5,11.23,22.47,8
Briarwood/Jamaica Hills,163,398.75,11.32,22.56,8
Brownsville,149,351.25,11.64,33.14,8
Murray Hill-Queens,89,221.25,12.11,25.79,8
Cambria Heights,100,238.75,12.32,26.0,8
Broad Channel,2,5.0,12.56,35.02,8
Forest Hills,435,1071.25,13.49,25.71,8
Rego Park,126,312.5,13.51,25.79,8
Queens Village,160,383.75,13.67,28.8,8
Erasmus,86,208.75,15.02,45.63,8
Flatlands,166,402.5,15.28,41.35,8
Bensonhurst East,44,110.0,15.71,53.27,8
Breezy Point/Fort Tilden/Riis Beach,8,20.0,16.55,52.61,8
Queensbridge/Ravenswood,103,255.0,16.69,33.26,8
East Williamsburg,406,987.5,17.2,39.36,8
Stuyvesant Heights,401,975.0,17.39,39.99,8
Prospect-Lefferts Gardens,321,785.0,18.38,46.13,8
University Heights/Morris Heights,47,113.75,18.68,46.84,8
Kingsbridge Heights,24,57.5,18.69,49.42,8
Hunts Point,35,83.75,18.7,40.24,8
Prospect Park,13,31.25,18.98,50.45,8
Inwood Hill Park,3,7.5,19.15,44.9,8
Longwood,36,88.75,19.28,38.91,8
Homecrest,47,115.0,19.32,51.35,8
Bath Beach,17,42.5,20.13,59.06,8
Melrose South,53,128.75,20.44,41.51,8
Mott Haven/Port Morris,138,338.75,20.44,35.74,8
Van Cortlandt Park,6,15.0,21.4,52.01,8
Morrisania/Melrose,44,107.5,22.12,44.36,8
Highbridge,55,136.25,22.8,37.03,8
Williamsburg (North Side),663,1637.5,23.73,43.84,8
Windsor Terrace,55,135.0,25.1,59.27,8
Claremont/Bathgate,30,73.75,25.43,50.39,8
Bronx Park,4,10.0,25.61,40.35,8
Stuy Town/Peter Cooper Village,233,566.25,26.16,49.5,8
Chinatown,101,247.5,26.93,51.71,8
