zone,trip_count,total_airport_fees,avg_company_profit,avg_driver_income
Stuyvesant Heights,323,781.25,18.94,41.52,10
Bath Beach,16,40.0,19.06,50.0,10
Breezy Point/Fort Tilden/Riis Beach,3,7.5,19.3,42.24,10
University Heights/Morris Heights,46,115.0,19.51,46.42,10
Prospect Park,12,30.0,19.59,54.77,10
Highbridge,57,141.25,19.77,43.62,10
Bensonhurst East,40,97.5,20.87,54.73,10
Mott Haven/Port Morris,110,267.5,21.16,37.38,10
Claremont/Bathgate,34,83.75,21.98,43.89,10
City Island,6,13.75,22.62,36.52,10
Williamsburg (North Side),692,1726.25,23.17,44.75,10
Homecrest,45,111.25,23.25,54.05,10
Hunts Point,34,85.0,23.31,41.34,10
Windsor Terrace,71,173.75,23.62,59.85,10
Stuy Town/Peter Cooper Village,193,473.75,24.96,50.4,10
Bronx Park,7,17.5,25.05,40.83,10
Highbridge Park,6,15.0,25.55,53.3,10
Central Harlem,312,762.5,28.05,44.67,10
Boerum Hill,363,898.75,28.16,51.98,10
Mariners Harbor,26,63.75,29.77,45.45,10
Lenox Hill West,480,1182.5,29.79,48.47,10
Chinatown,108,266.25,29.97,51.84,10
Inwood Hill Park,4,10.0,31.13,56.01,10
Spuyten Duyvil/Kingsbridge,59,146.25,31.16,53.47,10
Arrochar/Fort Wadsworth,11,26.25,31.78,48.81,10
Westerleigh,14,35.0,34.05,49.59,10
Gramercy,576,1430.0,34.59,49.66,10
Upper East Side North,480,1197.5,35.56,48.13,10
Clinton East,934,2327.5,35.7,56.08,10
Little Italy/NoLiTa,393,976.25,36.25,54.63,10
Financial District North,715,1776.25,36.26,56.36,10
New Dorp/Midland Beach,14,35.0,36.54,57.46,10
Penn Station/Madison Sq West,583,1452.5,37.22,53.37,10
Upper West Side South,482,1188.75,37.7,57.85,10
Greenwich Village North,417,1037.5,39.06,56.76,10
Arden Heights,6,15.0,41.51,59.35,10
East Chelsea,996,2481.25,42.79,58.57,10
Union Sq,696,1735.0,43.78,55.73,10
South Ozone Park,1266,2936.25,5.55,10.49,4
East Elmhurst,261,587.5,6.34,12.15,4
Springfield Gardens North,304,696.25,6.73,12.07,4
Springfield Gardens South,224,522.5,7.66,15.46,4
Baisley Park,396,923.75,7.72,14.7,4
Ozone Park,103,248.75,7.75,19.46,4
Elmhurst,230,555.0,7.83,22.97,4
Jackson Heights,409,987.5,8.69,21.24,4
Murray Hill-Queens,67,163.75,8.96,23.76,4
East Flushing,36,87.5,9.22,24.15,4
Briarwood/Jamaica Hills,135,320.0,9.69,21.8,4
Cambria Heights,89,210.0,9.74,25.03,4
Rego Park,98,237.5,10.24,25.91,4
Brownsville,130,311.25,10.5,31.28,4
Queens Village,105,245.0,11.27,27.16,4
Forest Hills,360,880.0,11.85,26.08,4
Erasmus,97,238.75,12.91,46.5,4
Bensonhurst East,47,116.25,13.08,52.35,4
Queensbridge/Ravenswood,47,112.5,14.15,33.4,4
Stuyvesant Heights,327,792.5,14.41,40.27,4
Claremont/Bathgate,31,75.0,15.55,44.71,4
Broad Channel,2,5.0,15.59,43.62,4
Flatlands,99,243.75,15.69,41.1,4
East Williamsburg,361,887.5,15.87,40.4,4
Prospect-Lefferts Gardens,283,697.5,15.99,46.22,4
University Heights/Morris Heights,36,85.0,16.36,45.88,4
Highbridge Park,3,7.5,17.42,49.23,4
Hunts Point,24,57.5,18.08,42.29,4
Highbridge,37,92.5,18.52,40.06,4
Longwood,31,76.25,18.71,34.18,4
Melrose South,42,103.75,18.92,35.39,4
Van Cortlandt Park,6,13.75,19.35,49.49,4
Mott Haven/Port Morris,103,246.25,19.48,35.42,4
Kingsbridge Heights,20,50.0,19.89,49.37,4
Morrisania/Melrose,50,121.25,20.24,40.34,4
Inwood Hill Park,4,8.75,20.88,37.8,4
Homecrest,59,145.0,22.71,54.04,4
Bath Beach,24,58.75,22.97,56.84,4
Williamsburg (North Side),586,1457.5,23.05,44.68,4
Windsor Terrace,65,161.25,24.84,63.02,4
Boerum Hill,358,885.0,25.33,52.32,4
Prospect Park,23,57.5,25.39,51.86,4
Bronx Park,11,25.0,25.86,44.05,4
Stuy Town/Peter Cooper Village,218,538.75,25.93,49.15,4
Chinatown,95,232.5,26.09,52.3,4
City Island,6,15.0,26.19,63.96,4
Central Harlem,291,710.0,26.42,44.56,4
Lenox Hill West,501,1238.75,29.2,46.26,4
Spuyten Duyvil/Kingsbridge,76,187.5,30.57,54.67,4
Gramercy,530,1322.5,32.61,49.42,4
New Dorp/Midland Beach,19,47.5,33.27,58.68,4
Mariners Harbor,22,53.75,33.28,37.4,4
Westerleigh,15,37.5,34.09,52.31,4
Arrochar/Fort Wadsworth,21,52.5,34.86,57.41,4
Financial District North,592,1468.75,34.89,55.4,4
Little Italy/NoLiTa,343,852.5,35.52,51.99,4
Clinton East,800,1992.5,35.65,55.3,4
Upper East Side North,474,1177.5,35.79,47.68,4
Upper West Side South,464,1147.5,37.2,55.49,4
Greenwich Village North,419,1040.0,37.38,54.66,4
Penn Station/Madison Sq West,463,1146.25,38.04,53.59,4
Arden Heights,15,37.5,38.45,65.53,4
Union Sq,569,1417.5,39.29,53.43,4
East Chelsea,857,2136.25,41.45,56.58,4
Van Cortlandt Park,4,10.0,2.59,71.52,11
Springfield Gardens South,177,400.0,6.02,15.76,11
South Ozone Park,1298,3152.5,6.17,10.53,11
Springfield Gardens North,248,586.25,6.25,13.8,11
East Elmhurst,256,617.5,6.38,13.12,11
Jackson Heights,374,898.75,7.66,21.63,11
Elmhurst,253,617.5,7.73,21.54,11
Baisley Park,367,862.5,8.45,16.39,11
Ozone Park,90,216.25,8.56,19.8,11
Brownsville,104,242.5,9.06,32.89,11
Briarwood/Jamaica Hills,94,223.75,10.02,21.14,11
Cambria Heights,80,193.75,10.18,25.51,11
Queens Village,109,253.75,10.19,28.61,11
Bensonhurst East,47,112.5,10.99,52.26,11
Rego Park,99,237.5,11.09,26.0,11
East Flushing,51,118.75,11.5,29.0,11
Forest Hills,350,862.5,12.0,26.14,11
Broad Channel,4,8.75,12.14,27.39,11
Murray Hill-Queens,72,173.75,12.46,31.04,11
Longwood,23,55.0,12.65,43.81,11
Flatlands,129,305.0,12.73,39.4,11
Erasmus,82,197.5,14.06,47.09,11
University Heights/Morris Heights,36,82.5,15.11,45.94,11
Prospect-Lefferts Gardens,291,705.0,15.5,46.24,11
Melrose South,48,118.75,15.93,41.43,11
Bath Beach,29,72.5,16.2,50.33,11
Queensbridge/Ravenswood,77,188.75,16.62,37.3,11
Hunts Point,33,80.0,16.85,34.95,11
Morrisania/Melrose,40,98.75,17.64,44.68,11
Breezy Point/Fort Tilden/Riis Beach,5,12.5,18.13,52.46,11
Stuyvesant Heights,371,901.25,18.3,40.94,11
East Williamsburg,400,986.25,18.31,38.82,11
Highbridge,37,88.75,18.99,43.35,11
Kingsbridge Heights,24,56.25,19.04,43.98,11
Homecrest,59,140.0,20.64,51.07,11
Claremont/Bathgate,21,51.25,21.6,42.9,11
Mott Haven/Port Morris,126,307.5,21.61,37.33,11
Williamsburg (North Side),623,1545.0,24.1,45.17,11
Windsor Terrace,73,181.25,25.18,57.52,11
Highbridge Park,5,12.5,25.62,46.68,11
Spuyten Duyvil/Kingsbridge,66,162.5,26.85,58.34,11
Arrochar/Fort Wadsworth,19,47.5,27.21,52.8,11
Central Harlem,310,762.5,27.36,44.31,11
Chinatown,96,237.5,27.8,49.42,11
Boerum Hill,357,881.25,28.17,51.88,11
Mariners Harbor,22,52.5,28.58,45.44,11
Stuy Town/Peter Cooper Village,193,472.5,28.71,48.57,11
Prospect Park,15,37.5,28.88,55.73,11
Lenox Hill West,490,1216.25,30.69,45.85,11
Inwood Hill Park,5,12.5,31.62,65.16,11
Westerleigh,17,42.5,33.3,51.26,11
City Island,15,37.5,33.46,56.3,11
Arden Heights,5,12.5,34.39,56.8,11
New Dorp/Midland Beach,19,47.5,34.48,61.1,11
Financial District North,660,1636.25,35.86,56.97,11
Little Italy/NoLiTa,395,983.75,36.87,52.89,11
Gramercy,602,1493.75,37.39,50.18,11
Clinton East,941,2335.0,37.94,55.47,11
Upper East Side North,434,1078.75,38.15,50.25,11
Greenwich Village North,421,1048.75,38.61,54.03,11
Penn Station/Madison Sq West,552,1376.25,39.92,55.28,11
Upper West Side South,477,1180.0,41.12,58.34,11
East Chelsea,911,2266.25,42.8,57.71,11
Union Sq,669,1662.5,43.16,54.37,11
North Corona,79,186.25,7.86,19.53,1
South Jamaica,111,261.25,8.8,18.24,1
Flushing Meadows-Corona Park,9,22.5,9.72,14.59,1
Saint Albans,198,458.75,9.82,20.31,1
Laurelton,117,277.5,9.83,17.39,1
College Point,58,142.5,10.4,26.54,1
Woodside,139,333.75,10.46,23.24,1
Astoria,401,973.75,10.63,25.04,1
Ocean Hill,121,282.5,11.29,30.0,1
East New York/Pennsylvania Avenue,58,136.25,11.43,28.31,1
Coney Island,41,100.0,11.64,46.41,1
East Flatbush/Remsen Village,100,232.5,11.72,32.05,1
Outside of NYC,1,2.5,11.79,26.76,1
Queensboro Hill,45,108.75,12.05,25.59,1
Kew Gardens Hills,88,211.25,12.07,22.29,1
Ridgewood,180,435.0,12.75,33.12,1
Bensonhurst West,46,112.5,13.75,52.15,1
Sunnyside,176,432.5,13.98,30.33,1
Flatbush/Ditmas Park,167,411.25,14.27,47.98,1
Crown Heights North,429,1042.5,14.37,39.22,1
Manhattan Beach,22,55.0,14.97,47.39,1
Bushwick South,341,828.75,15.02,37.96,1
Crotona Park East,11,27.5,15.19,36.85,1
South Williamsburg,35,85.0,15.69,39.68,1
Long Island City/Hunters Point,523,1300.0,16.28,37.97,1
Bedford,281,688.75,16.34,40.92,1
Marine Park/Mill Basin,77,190.0,16.57,41.65,1
East Tremont,22,52.5,16.94,41.16,1
Marine Park/Floyd Bennett Field,1,2.5,18.19,36.85,1
Roosevelt Island,68,168.75,18.27,45.76,1
Sunset Park West,76,186.25,18.82,55.32,1
Williamsburg (South Side),390,961.25,19.34,42.82,1
Woodlawn/Wakefield,39,93.75,19.36,47.39,1
West Concourse,43,105.0,19.72,41.35,1
Allerton/Pelham Gardens,35,83.75,19.84,40.95,1
Pelham Bay,16,40.0,19.89,40.68,1
Saint Michaels Cemetery/Woodside,2,5.0,19.94,33.98,1
East Harlem North,191,463.75,20.21,29.72,1
Norwood,47,116.25,20.88,46.93,1
Crotona Park,3,7.5,21.07,40.01,1
Dyker Heights,31,77.5,21.67,57.61,1
Country Club,12,30.0,22.52,42.34,1
Ocean Parkway South,35,86.25,22.77,57.03,1
LaGuardia Airport,17227,42207.5,23.09,39.68,1
Washington Heights South,195,478.75,23.33,43.23,1
Van Nest/Morris Park,46,112.5,23.65,39.96,1
Lower East Side,430,1061.25,26.35,45.84,1
Bloomingdale,74,177.5,27.17,47.77,1
East Village,552,1358.75,27.48,46.98,1
Morningside Heights,165,411.25,28.51,50.9,1
Red Hook,43,107.5,29.7,61.35,1
West Brighton,13,32.5,30.3,57.38,1
Upper West Side North,334,823.75,31.1,52.65,1
Riverdale/North Riverdale/Fieldston,54,135.0,31.17,60.05,1
Port Richmond,8,20.0,31.25,45.89,1
UN/Turtle Bay South,474,1171.25,31.3,44.0,1
Murray Hill,709,1762.5,32.12,45.43,1
Flatiron,531,1322.5,34.93,48.45,1
Lincoln Square West,279,693.75,35.41,57.01,1
Midtown East,711,1771.25,35.63,48.54,1
World Trade Center,365,910.0,37.05,57.11,1
TriBeCa/Civic Center,625,1561.25,37.38,54.37,1
Upper East Side South,342,855.0,37.98,54.8,1
Saint Michaels Cemetery/Woodside,1,2.5,1.98,18.36,3
North Corona,46,107.5,6.7,16.66,3
Flushing Meadows-Corona Park,24,58.75,8.01,13.04,3
Willets Point,1,2.5,9.06,9.69,3
South Jamaica,133,318.75,9.23,19.05,3
East New York/Pennsylvania Avenue,69,161.25,9.34,27.98,3
Laurelton,96,227.5,9.41,18.81,3
Woodside,150,353.75,9.5,22.7,3
College Point,77,187.5,9.54,25.16,3
Marine Park/Floyd Bennett Field,4,10.0,9.7,43.78,3
Saint Albans,215,496.25,9.88,21.08,3
Queensboro Hill,40,100.0,9.9,21.04,3
Astoria,389,945.0,10.58,25.39,3
East Flatbush/Remsen Village,95,222.5,10.98,37.6,3
Ocean Hill,105,243.75,11.03,32.36,3
Ridgewood,179,428.75,11.78,34.98,3
Kew Gardens Hills,93,226.25,11.81,22.84,3
Sunnyside,174,422.5,11.86,33.3,3
Outside of NYC,1,2.5,12.48,21.55,3
Manhattan Beach,19,47.5,13.2,43.2,3
Coney Island,32,80.0,14.07,51.0,3
Roosevelt Island,105,256.25,14.21,42.06,3
Marine Park/Mill Basin,69,170.0,14.33,43.01,3
Crown Heights North,418,1008.75,14.56,41.83,3
Bushwick South,424,1026.25,14.67,40.29,3
Norwood,35,83.75,14.73,48.97,3
Long Island City/Hunters Point,604,1488.75,15.14,39.87,3
Flatbush/Ditmas Park,204,493.75,15.35,51.85,3
West Concourse,36,86.25,15.96,41.62,3
Bedford,251,615.0,17.01,43.59,3
Crotona Park East,27,63.75,17.16,34.97,3
Ocean Parkway South,26,65.0,17.27,52.87,3
Allerton/Pelham Gardens,28,65.0,17.36,36.46,3
Woodlawn/Wakefield,37,88.75,18.08,49.41,3
Pelham Bay,26,63.75,18.81,43.5,3
Country Club,12,30.0,19.18,43.47,3
Sunset Park West,96,237.5,19.32,62.77,3
Bensonhurst West,46,112.5,19.45,56.1,3
Williamsburg (South Side),406,996.25,19.77,44.04,3
South Williamsburg,24,57.5,20.27,48.95,3
East Harlem North,207,502.5,21.01,36.32,3
Van Nest/Morris Park,44,107.5,21.08,39.84,3
East Tremont,33,81.25,21.57,34.48,3
Dyker Heights,32,77.5,22.02,61.41,3
Washington Heights South,231,572.5,23.68,45.8,3
LaGuardia Airport,18125,44422.5,25.07,43.0,3
Bloomingdale,90,221.25,27.21,53.52,3
East Village,736,1825.0,28.12,50.82,3
Morningside Heights,353,870.0,28.29,51.84,3
Red Hook,46,113.75,28.44,62.63,3
Lower East Side,475,1175.0,28.86,49.39,3
Port Richmond,13,32.5,31.67,46.74,3
UN/Turtle Bay South,489,1215.0,32.95,47.17,3
Upper West Side North,383,950.0,33.93,56.31,3
Murray Hill,745,1847.5,33.99,48.16,3
Riverdale/North Riverdale/Fieldston,57,142.5,34.2,61.78,3
Flatiron,554,1378.75,37.49,54.6,3
World Trade Center,393,980.0,37.95,59.16,3
Midtown East,766,1908.75,38.02,52.63,3
Lincoln Square West,333,826.25,38.88,60.34,3
Upper East Side South,453,1132.5,40.6,56.41,3
West Brighton,9,22.5,41.78,62.38,3
TriBeCa/Civic Center,693,1727.5,42.26,57.71,3
Saint Michaels Cemetery/Woodside,3,6.25,4.38,13.06,5
Willets Point,2,5.0,6.95,23.95,5
Marine Park/Floyd Bennett Field,2,3.75,7.05,37.0,5
North Corona,85,200.0,7.06,16.82,5
Laurelton,131,303.75,8.79,20.01,5
South Jamaica,145,335.0,8.92,19.56,5
Woodside,144,343.75,9.0,21.38,5
East New York/Pennsylvania Avenue,74,178.75,9.82,27.56,5
Queensboro Hill,57,136.25,10.57,25.78,5
Saint Albans,245,572.5,10.58,22.48,5
Astoria,515,1260.0,10.67,29.21,5
College Point,72,171.25,10.89,28.28,5
Kew Gardens Hills,78,191.25,10.96,24.25,5
Flushing Meadows-Corona Park,34,83.75,11.23,21.77,5
Ridgewood,207,501.25,11.94,36.57,5
Sunnyside,222,542.5,12.04,34.05,5
Ocean Hill,143,343.75,12.39,34.42,5
East Flatbush/Remsen Village,111,262.5,12.68,36.1,5
Bushwick South,442,1062.5,13.05,39.54,5
Crotona Park East,24,57.5,13.45,40.85,5
Manhattan Beach,16,40.0,13.88,42.48,5
Flatbush/Ditmas Park,247,597.5,14.7,53.99,5
Coney Island,53,132.5,14.74,53.74,5
Crown Heights North,556,1335.0,14.81,42.69,5
Bensonhurst West,60,148.75,14.91,56.7,5
South Williamsburg,23,55.0,15.02,39.98,5
Long Island City/Hunters Point,703,1731.25,15.82,40.7,5
Marine Park/Mill Basin,78,188.75,15.98,43.23,5
Crotona Park,1,2.5,16.37,64.94,5
Bedford,371,903.75,16.63,44.55,5
Roosevelt Island,113,277.5,16.93,48.48,5
Dyker Heights,38,93.75,18.54,59.46,5
East Tremont,39,95.0,18.7,38.82,5
Williamsburg (South Side),514,1272.5,18.75,45.96,5
Norwood,46,112.5,18.77,51.11,5
West Concourse,64,157.5,19.08,40.53,5
East Harlem North,245,592.5,19.44,34.07,5
Pelham Bay,21,50.0,21.07,40.66,5
Allerton/Pelham Gardens,32,78.75,21.78,42.18,5
Van Nest/Morris Park,35,86.25,22.13,44.73,5
Sunset Park West,89,218.75,22.3,64.84,5
Ocean Parkway South,35,87.5,22.35,59.02,5
Washington Heights South,262,640.0,23.43,48.05,5
Woodlawn/Wakefield,49,116.25,24.59,52.78,5
LaGuardia Airport,20720,51417.5,25.02,45.19,5
East Village,771,1900.0,27.03,51.68,5
Country Club,16,40.0,27.03,49.08,5
Morningside Heights,396,971.25,27.12,56.57,5
Red Hook,39,96.25,27.69,60.59,5
Bloomingdale,114,282.5,28.53,55.46,5
Riverdale/North Riverdale/Fieldston,48,120.0,30.01,64.95,5
Lower East Side,599,1486.25,31.44,51.8,5
Port Richmond,10,25.0,32.35,47.67,5
UN/Turtle Bay South,598,1486.25,32.43,48.17,5
Upper West Side North,409,1012.5,33.04,54.98,5
Murray Hill,808,2011.25,33.38,49.96,5
West Brighton,16,40.0,35.94,55.52,5
Lincoln Square West,344,850.0,37.65,60.22,5
World Trade Center,452,1128.75,37.96,60.91,5
Flatiron,678,1683.75,38.14,55.29,5
Midtown East,841,2096.25,38.59,54.01,5
Upper East Side South,479,1195.0,39.41,56.77,5
TriBeCa/Civic Center,736,1835.0,40.32,59.58,5
South Ozone Park,1278,2953.75,5.52,10.7,3
East Elmhurst,278,623.75,6.21,11.81,3
Springfield Gardens North,292,657.5,6.61,11.38,3
Springfield Gardens South,179,410.0,7.54,13.13,3
Baisley Park,423,957.5,7.88,14.28,3
Jackson Heights,356,857.5,7.95,20.32,3
Bath Beach,25,60.0,8.33,51.65,3
Elmhurst,203,490.0,8.62,23.12,3
East Flushing,29,70.0,8.63,26.02,3
Ozone Park,93,226.25,9.0,19.6,3
Brownsville,96,225.0,10.9,31.65,3
Briarwood/Jamaica Hills,113,273.75,11.13,22.29,3
Queens Village,106,256.25,11.48,28.16,3
Murray Hill-Queens,58,142.5,11.76,28.43,3
Cambria Heights,74,172.5,12.0,23.59,3
Rego Park,84,205.0,12.2,27.49,3
Flatlands,102,246.25,12.44,39.41,3
Bensonhurst East,31,75.0,12.47,54.64,3
Forest Hills,280,685.0,12.53,24.89,3
Prospect-Lefferts Gardens,224,543.75,13.42,45.45,3
Erasmus,92,217.5,13.88,44.3,3
Broad Channel,2,5.0,14.4,29.06,3
Queensbridge/Ravenswood,46,111.25,14.68,36.65,3
Stuyvesant Heights,261,633.75,15.76,41.03,3
Claremont/Bathgate,13,32.5,15.76,47.43,3
East Williamsburg,318,785.0,16.31,39.44,3
Hunts Point,27,63.75,16.76,38.67,3
Morrisania/Melrose,39,86.25,16.82,42.47,3
Highbridge,35,85.0,16.82,35.73,3
Longwood,23,56.25,16.89,32.79,3
Prospect Park,13,32.5,17.16,48.77,3
Homecrest,51,126.25,17.9,55.16,3
Breezy Point/Fort Tilden/Riis Beach,8,20.0,19.27,72.8,3
Melrose South,42,102.5,19.41,39.63,3
University Heights/Morris Heights,42,100.0,20.1,47.64,3
Inwood Hill Park,3,7.5,20.43,51.55,3
Mott Haven/Port Morris,97,238.75,20.9,37.08,3
Windsor Terrace,60,150.0,21.67,59.94,3
Arrochar/Fort Wadsworth,9,21.25,22.16,60.33,3
Bronx Park,8,20.0,22.19,50.9,3
Kingsbridge Heights,28,68.75,22.52,51.37,3
Highbridge Park,4,10.0,22.59,32.91,3
Stuy Town/Peter Cooper Village,171,421.25,23.25,51.84,3
Chinatown,79,193.75,23.25,50.4,3
Williamsburg (North Side),579,1438.75,23.34,46.04,3
Van Cortlandt Park,3,7.5,24.15,47.01,3
Boerum Hill,385,957.5,24.79,52.86,3
Central Harlem,267,653.75,26.11,45.15,3
Spuyten Duyvil/Kingsbridge,61,152.5,29.78,57.43,3
Lenox Hill West,463,1147.5,30.38,46.98,3
Mariners Harbor,21,52.5,31.31,40.77,3
Gramercy,504,1251.25,33.21,50.4,3
Financial District North,621,1546.25,33.21,56.06,3
Clinton East,801,1982.5,33.31,56.08,3
Little Italy/NoLiTa,337,837.5,34.29,53.42,3
Penn Station/Madison Sq West,490,1217.5,35.64,51.95,3
Westerleigh,17,42.5,36.25,38.89,3
Upper East Side North,496,1235.0,36.65,49.36,3
Arden Heights,11,27.5,36.78,63.54,3
Upper West Side South,429,1065.0,37.37,57.13,3
Greenwich Village North,384,957.5,37.45,55.64,3
City Island,3,7.5,39.24,48.09,3
East Chelsea,842,2100.0,39.36,56.34,3
Union Sq,551,1373.75,39.98,56.06,3
New Dorp/Midland Beach,7,17.5,41.42,59.99,3
Willets Point,1,2.5,6.6,6.48,7
Outside of NYC,2,5.0,7.12,21.3,7
Flushing Meadows-Corona Park,24,60.0,7.86,15.67,7
North Corona,73,168.75,8.6,19.89,7
South Jamaica,154,368.75,8.68,19.83,7
Woodside,200,492.5,9.38,23.56,7
Laurelton,140,328.75,9.75,19.39,7
College Point,85,201.25,9.93,23.89,7
East New York/Pennsylvania Avenue,75,182.5,10.14,28.13,7
Astoria,560,1368.75,10.34,27.93,7
Queensboro Hill,102,248.75,10.37,22.3,7
Saint Albans,262,618.75,10.74,23.17,7
Kew Gardens Hills,103,247.5,11.07,22.31,7
Ridgewood,248,600.0,12.56,34.07,7
Sunnyside,218,537.5,12.61,33.03,7
Saint Michaels Cemetery/Woodside,1,2.5,12.65,28.5,7
Ocean Hill,152,361.25,12.65,31.97,7
East Flatbush/Remsen Village,133,320.0,13.43,35.0,7
Bushwick South,479,1181.25,15.04,37.9,7
Marine Park/Mill Basin,84,207.5,15.17,42.63,7
Bensonhurst West,60,146.25,15.28,57.23,7
Crown Heights North,659,1595.0,15.32,40.26,7
Marine Park/Floyd Bennett Field,2,5.0,15.6,34.99,7
East Tremont,60,143.75,15.6,39.4,7
Bedford,389,951.25,16.63,40.46,7
Flatbush/Ditmas Park,251,612.5,16.85,51.23,7
Long Island City/Hunters Point,585,1435.0,17.2,37.77,7
South Williamsburg,30,72.5,17.31,34.0,7
Ocean Parkway South,23,57.5,18.35,53.41,7
Pelham Bay,21,52.5,18.39,41.06,7
Roosevelt Island,97,242.5,18.67,45.77,7
Norwood,50,123.75,18.73,50.3,7
Crotona Park East,24,58.75,19.08,40.16,7
Manhattan Beach,20,50.0,19.93,43.18,7
Williamsburg (South Side),476,1177.5,19.99,41.99,7
Dyker Heights,23,57.5,20.31,57.85,7
East Harlem North,229,557.5,20.38,34.0,7
Woodlawn/Wakefield,66,158.75,20.86,56.0,7
Sunset Park West,86,211.25,20.89,57.26,7
Allerton/Pelham Gardens,50,120.0,20.93,42.32,7
Van Nest/Morris Park,48,115.0,20.93,39.95,7
Coney Island,56,135.0,21.34,50.85,7
Country Club,14,35.0,21.34,36.45,7
West Concourse,66,160.0,21.48,41.09,7
LaGuardia Airport,20461,50900.0,23.11,41.98,7
Washington Heights South,245,593.75,24.1,45.66,7
Bloomingdale,107,258.75,27.07,50.15,7
Morningside Heights,226,556.25,27.3,50.21,7
East Village,753,1860.0,27.49,46.05,7
Red Hook,46,115.0,27.6,53.63,7
Port Richmond,21,52.5,28.75,52.03,7
Lower East Side,545,1351.25,29.43,47.91,7
UN/Turtle Bay South,525,1302.5,32.02,44.35,7
Murray Hill,787,1948.75,34.38,45.45,7
Riverdale/North Riverdale/Fieldston,75,187.5,34.41,59.16,7
Upper West Side North,390,970.0,34.76,52.36,7
World Trade Center,422,1047.5,36.12,56.47,7
Midtown East,737,1832.5,36.81,49.83,7
Upper East Side South,425,1059.75,37.03,53.39,7
West Brighton,20,50.0,37.96,67.4,7
Flatiron,529,1320.0,38.11,52.92,7
Lincoln Square West,334,830.0,38.5,56.79,7
TriBeCa/Civic Center,645,1610.0,39.21,56.0,7
Saint Michaels Cemetery/Woodside,1,2.5,1.48,8.77,9
Willets Point,3,7.5,7.13,17.31,9
South Jamaica,129,293.75,8.25,18.53,9
North Corona,73,173.75,8.94,16.01,9
Woodside,176,423.75,9.06,23.11,9
Laurelton,127,295.0,9.36,19.5,9
Saint Albans,217,500.0,10.99,22.36,9
East New York/Pennsylvania Avenue,68,167.5,11.01,29.06,9
Astoria,485,1183.75,11.93,27.48,9
College Point,89,221.25,12.34,26.04,9
Kew Gardens Hills,98,237.5,13.34,23.1,9
Queensboro Hill,56,137.5,13.42,23.92,9
Sunnyside,181,438.75,13.93,35.14,9
South Williamsburg,31,77.5,14.13,41.24,9
Ocean Hill,122,285.0,14.23,33.43,9
East Flatbush/Remsen Village,106,253.75,14.28,38.57,9
Coney Island,46,111.25,14.52,49.51,9
Ridgewood,238,575.0,14.9,35.13,9
Bushwick South,468,1141.25,15.73,39.56,9
Bensonhurst West,53,128.75,15.75,55.17,9
Flushing Meadows-Corona Park,61,151.25,15.8,31.73,9
Marine Park/Mill Basin,66,163.75,17.36,43.56,9
Long Island City/Hunters Point,576,1418.75,17.77,39.81,9
Roosevelt Island,79,195.0,17.79,42.79,9
Bedford,317,772.5,17.82,44.37,9
Crotona Park East,22,53.75,17.97,39.11,9
Flatbush/Ditmas Park,203,502.5,18.17,53.53,9
Crown Heights North,564,1361.25,18.38,42.53,9
East Tremont,40,92.5,18.45,37.75,9
Manhattan Beach,20,50.0,19.27,52.75,9
Van Nest/Morris Park,44,102.5,19.79,37.89,9
Woodlawn/Wakefield,49,121.25,19.86,54.06,9
Ocean Parkway South,18,45.0,19.87,56.56,9
East Harlem North,243,580.0,19.96,35.16,9
Williamsburg (South Side),509,1257.5,20.93,45.99,9
Allerton/Pelham Gardens,38,92.5,21.85,44.54,9
Norwood,31,77.5,21.95,54.61,9
Pelham Bay,21,51.25,22.15,43.68,9
Outside of NYC,2,5.0,23.25,24.02,9
Crotona Park,2,5.0,23.96,44.73,9
Sunset Park West,109,266.25,24.12,60.51,9
West Concourse,52,127.5,24.19,43.91,9
Dyker Heights,29,72.5,24.41,61.56,9
LaGuardia Airport,20303,50197.5,24.79,45.65,9
Washington Heights South,201,492.5,26.04,47.04,9
Morningside Heights,202,501.25,27.87,51.81,9
Red Hook,70,173.75,28.53,59.42,9
East Village,667,1653.75,29.38,51.17,9
Bloomingdale,74,183.75,29.44,57.3,9
Country Club,13,32.5,29.65,49.53,9
Lower East Side,610,1513.75,31.68,52.08,9
Riverdale/North Riverdale/Fieldston,63,156.25,32.22,61.92,9
UN/Turtle Bay South,558,1387.5,33.14,48.83,9
Upper West Side North,397,986.25,34.69,56.45,9
Murray Hill,863,2145.0,35.2,50.87,9
West Brighton,26,63.75,38.57,61.31,9
Lincoln Square West,318,790.0,39.02,59.88,9
World Trade Center,439,1091.25,39.2,60.71,9
Midtown East,880,2195.0,39.24,54.7,9
Flatiron,668,1663.75,39.72,55.61,9
Port Richmond,6,15.0,39.95,51.98,9
Upper East Side South,433,1081.25,41.36,59.38,9
TriBeCa/Civic Center,815,2031.25,41.49,59.52,9
South Ozone Park,1263,2752.5,5.14,11.04,1
Springfield Gardens North,332,725.0,5.82,11.22,1
East Elmhurst,322,682.5,5.95,11.94,1
Springfield Gardens South,184,417.5,6.99,13.79,1
Baisley Park,408,902.5,8.16,13.99,1
Jackson Heights,376,897.5,8.23,19.75,1
Broad Channel,2,5.0,8.29,25.38,1
Ozone Park,105,248.75,9.11,19.49,1
Brownsville,119,276.25,9.38,30.04,1
