from_zone,to_zone,empty_runs_count,avg_distance_miles
Outside of NYC,Prospect-Lefferts Gardens,367,11.2,2
Outside of NYC,East Harlem North,369,12.83,2
Outside of NYC,Ridgewood,371,12.73,2
Outside of NYC,Washington Heights South,374,12.34,2
Outside of NYC,Mott Haven/Port Morris,374,12.57,2
Outside of NYC,Elmhurst,382,12.67,2
Outside of NYC,Upper West Side South,386,12.15,2
Outside of NYC,Flatbush/Ditmas Park,389,13.96,2
Outside of NYC,Canarsie,390,12.1,2
Outside of NYC,Jackson Heights,392,12.89,2
Outside of NYC,Flatiron,408,12.16,2
Outside of NYC,East Harlem South,418,12.54,2
Outside of NYC,Bushwick North,422,12.53,2
Outside of NYC,East Williamsburg,425,12.9,2
Outside of NYC,Greenwich Village North,425,12.44,2
Crown Heights North,JFK Airport,428,6.39,2
Outside of NYC,Long Island City/Hunters Point,433,12.55,2
Outside of NYC,Lincoln Square East,437,12.19,2
LaGuardia Airport,JFK Airport,443,10.09,2
Outside of NYC,Little Italy/NoLiTa,445,12.58,2
Outside of NYC,Upper East Side North,446,12.45,2
Outside of NYC,Stuyvesant Heights,469,13.17,2
Outside of NYC,Gramercy,471,13.06,2
Outside of NYC,Greenwich Village South,479,13.71,2
Outside of NYC,Upper East Side South,479,13.91,2
Outside of NYC,Central Harlem North,483,12.71,2
Outside of NYC,Clinton East,512,13.36,2
Outside of NYC,Bedford,518,12.33,2
Outside of NYC,Astoria,519,12.28,2
Outside of NYC,Midtown North,530,13.47,2
Outside of NYC,Greenpoint,546,12.25,2
Outside of NYC,East New York,550,12.58,2
Outside of NYC,Williamsburg (South Side),575,12.32,2
Outside of NYC,Bushwick South,602,12.44,2
Outside of NYC,Murray Hill,606,12.72,2
Outside of NYC,East Chelsea,606,12.5,2
Outside of NYC,Williamsburg (North Side),615,12.81,2
Outside of NYC,Midtown East,625,13.11,2
Outside of NYC,West Village,625,12.24,2
Outside of NYC,Union Sq,643,12.76,2
Outside of NYC,Midtown South,651,12.47,2
Outside of NYC,Park Slope,659,12.04,2
Outside of NYC,Lower East Side,662,13.2,2
Outside of NYC,West Chelsea/Hudson Yards,666,12.13,2
Outside of NYC,Crown Heights North,676,12.59,2
Outside of NYC,TriBeCa/Civic Center,728,12.39,2
Outside of NYC,Times Sq/Theatre District,761,13.2,2
Outside of NYC,Midtown Center,867,12.76,2
Outside of NYC,East Village,887,12.7,2
Outside of NYC,JFK Airport,1006,15.26,2
Outside of NYC,LaGuardia Airport,1044,14.57,2
East Village,Midtown Center,313,3.9,1
Outside of NYC,Meatpacking/West Village West,314,13.71,1
Outside of NYC,Central Harlem,324,12.86,1
East Village,JFK Airport,331,5.08,1
Outside of NYC,Mott Haven/Port Morris,332,13.48,1
Outside of NYC,East Harlem North,332,12.9,1
Outside of NYC,East Harlem South,338,13.21,1
Outside of NYC,Ridgewood,345,12.49,1
Outside of NYC,Garment District,345,13.93,1
Outside of NYC,Elmhurst,347,13.4,1
Outside of NYC,Kips Bay,347,11.35,1
Crown Heights North,LaGuardia Airport,350,4.77,1
Outside of NYC,Sunnyside,351,12.34,1
Outside of NYC,Canarsie,353,11.92,1
Outside of NYC,Penn Station/Madison Sq West,362,13.14,1
Outside of NYC,Jamaica,363,13.25,1
Outside of NYC,Sutton Place/Turtle Bay North,377,11.62,1
Outside of NYC,Upper West Side South,378,13.12,1
Outside of NYC,SoHo,380,13.24,1
Outside of NYC,Lenox Hill West,380,14.06,1
Outside of NYC,Jackson Heights,382,14.6,1
Outside of NYC,Clinton Hill,382,11.84,1
Outside of NYC,Greenwich Village South,389,13.34,1
Outside of NYC,Stuyvesant Heights,390,11.88,1
Outside of NYC,Flatbush/Ditmas Park,390,12.61,1
Outside of NYC,Greenwich Village North,393,12.2,1
Crown Heights North,JFK Airport,398,6.14,1
Outside of NYC,East Williamsburg,406,12.4,1
Outside of NYC,Long Island City/Hunters Point,413,13.23,1
Outside of NYC,Lincoln Square East,413,13.23,1
LaGuardia Airport,JFK Airport,416,9.58,1
Outside of NYC,Prospect-Lefferts Gardens,420,12.03,1
Outside of NYC,Washington Heights South,424,12.92,1
Outside of NYC,Bedford,434,12.42,1
Outside of NYC,Bushwick North,437,13.32,1
Outside of NYC,Central Harlem North,441,11.9,1
Outside of NYC,Flatiron,441,12.43,1
Outside of NYC,Little Italy/NoLiTa,447,12.75,1
Outside of NYC,Astoria,449,12.55,1
Outside of NYC,Williamsburg (South Side),455,14.09,1
Outside of NYC,Park Slope,461,12.21,1
Outside of NYC,East New York,468,13.84,1
Outside of NYC,Gramercy,475,12.37,1
Outside of NYC,Greenpoint,478,13.47,1
Outside of NYC,Upper East Side North,486,11.67,1
Outside of NYC,Clinton East,490,14.42,1
Outside of NYC,Midtown East,507,12.6,1
Outside of NYC,Williamsburg (North Side),517,13.22,1
Outside of NYC,Midtown North,523,13.21,1
Outside of NYC,Murray Hill,554,11.86,1
Outside of NYC,Lower East Side,561,13.32,1
Outside of NYC,Upper East Side South,568,12.77,1
Outside of NYC,Bushwick South,600,12.53,1
Outside of NYC,East Chelsea,603,14.22,1
Outside of NYC,Midtown South,618,13.31,1
Outside of NYC,West Chelsea/Hudson Yards,632,13.65,1
Outside of NYC,West Village,659,12.91,1
Outside of NYC,Crown Heights North,663,14.14,1
Outside of NYC,TriBeCa/Civic Center,669,13.92,1
Outside of NYC,Times Sq/Theatre District,678,12.74,1
Outside of NYC,Union Sq,720,12.74,1
Outside of NYC,East Village,781,13.58,1
Outside of NYC,Midtown Center,794,13.68,1
Outside of NYC,LaGuardia Airport,988,14.65,1
Outside of NYC,JFK Airport,1044,15.3,1
Outside of NYC,Battery Park City,314,13.37,11
Outside of NYC,Hamilton Heights,317,13.59,11
LaGuardia Airport,East Chelsea,323,8.36,11
Outside of NYC,Flatlands,324,12.7,11
Outside of NYC,Clinton West,331,13.85,11
Outside of NYC,Financial District North,331,14.17,11
Outside of NYC,Boerum Hill,332,13.61,11
LaGuardia Airport,East New York,333,8.23,11
Outside of NYC,East Concourse/Concourse Village,337,13.33,11
Outside of NYC,Bedford Park,345,12.22,11
Outside of NYC,Borough Park,350,13.21,11
Outside of NYC,Flushing,351,14.12,11
LaGuardia Airport,Crown Heights North,355,7.99,11
Outside of NYC,Brownsville,357,12.47,11
Crown Heights North,LaGuardia Airport,358,5.01,11
Outside of NYC,Lenox Hill East,358,12.71,11
Outside of NYC,Bay Ridge,359,12.57,11
Outside of NYC,Ridgewood,360,14.99,11
Outside of NYC,Sutton Place/Turtle Bay North,362,12.1,11
Outside of NYC,Kips Bay,365,13.34,11
Outside of NYC,Upper West Side South,367,14.5,11
Outside of NYC,Central Harlem,368,13.61,11
Outside of NYC,Garment District,371,13.94,11
Outside of NYC,Lenox Hill West,373,14.3,11
Outside of NYC,SoHo,377,11.65,11
Outside of NYC,Washington Heights North,383,13.08,11
Outside of NYC,East Harlem South,386,13.71,11
Outside of NYC,Mott Haven/Port Morris,388,12.88,11
Outside of NYC,Meatpacking/West Village West,388,13.0,11
Outside of NYC,Flatiron,390,12.73,11
Outside of NYC,Fort Greene,392,13.6,11
Outside of NYC,Lincoln Square East,406,14.42,11
Outside of NYC,Penn Station/Madison Sq West,408,13.53,11
Outside of NYC,Greenwich Village North,410,12.42,11
Outside of NYC,Sunnyside,413,13.19,11
Outside of NYC,South Ozone Park,417,13.35,11
Outside of NYC,East Harlem North,417,14.59,11
Outside of NYC,Forest Hills,427,13.6,11
LaGuardia Airport,JFK Airport,428,9.91,11
Outside of NYC,Jackson Heights,441,14.17,11
Outside of NYC,Greenwich Village South,443,12.84,11
Outside of NYC,Elmhurst,443,12.74,11
Outside of NYC,Prospect-Lefferts Gardens,453,12.84,11
Outside of NYC,Clinton Hill,453,13.96,11
Outside of NYC,Upper East Side North,457,14.45,11
Outside of NYC,Long Island City/Hunters Point,460,12.94,11
Outside of NYC,Little Italy/NoLiTa,467,13.95,11
Outside of NYC,Stuyvesant Heights,467,14.52,11
Outside of NYC,Jamaica,467,12.96,11
Outside of NYC,Bedford,472,12.7,11
Outside of NYC,East Williamsburg,482,12.7,11
Outside of NYC,Flatbush/Ditmas Park,498,14.19,11
Outside of NYC,Bushwick North,499,14.33,11
Outside of NYC,Gramercy,521,12.64,11
Outside of NYC,Canarsie,524,11.72,11
Outside of NYC,Williamsburg (South Side),526,13.3,11
Outside of NYC,Midtown East,526,12.95,11
Outside of NYC,Central Harlem North,529,13.51,11
Outside of NYC,Park Slope,546,13.25,11
Outside of NYC,Midtown North,551,14.35,11
Outside of NYC,Washington Heights South,556,12.12,11
Outside of NYC,Upper East Side South,561,12.5,11
Outside of NYC,Murray Hill,579,13.85,11
Outside of NYC,Greenpoint,582,13.92,11
Outside of NYC,East New York,582,13.03,11
Outside of NYC,Clinton East,597,13.61,11
Outside of NYC,Astoria,611,13.35,11
Outside of NYC,Lower East Side,615,13.31,11
Outside of NYC,Midtown South,639,12.89,11
Outside of NYC,Bushwick South,649,12.66,11
Outside of NYC,Williamsburg (North Side),669,13.37,11
Outside of NYC,East Chelsea,678,13.02,11
Outside of NYC,West Chelsea/Hudson Yards,710,13.37,11
Outside of NYC,TriBeCa/Civic Center,722,13.25,11
Outside of NYC,West Village,746,12.68,11
Outside of NYC,Union Sq,747,13.14,11
Outside of NYC,Crown Heights North,759,13.27,11
Outside of NYC,Midtown Center,834,13.8,11
Outside of NYC,Times Sq/Theatre District,852,14.03,11
Outside of NYC,East Village,878,12.99,11
Outside of NYC,JFK Airport,996,15.32,11
Outside of NYC,LaGuardia Airport,1253,14.18,11
Outside of NYC,Forest Hills,312,14.23,4
Outside of NYC,Ridgewood,313,13.81,4
Outside of NYC,Financial District North,314,13.49,4
Outside of NYC,East Harlem North,315,13.89,4
Outside of NYC,Garment District,316,13.26,4
Bushwick South,JFK Airport,320,5.61,4
Outside of NYC,West Concourse,321,13.05,4
Outside of NYC,Sunnyside,327,12.2,4
Bushwick South,LaGuardia Airport,328,5.91,4
Outside of NYC,Brownsville,330,13.69,4
Outside of NYC,Sutton Place/Turtle Bay North,332,13.17,4
LaGuardia Airport,Crown Heights North,334,8.54,4
Outside of NYC,SoHo,335,13.7,4
Outside of NYC,Bay Ridge,335,13.58,4
Outside of NYC,South Ozone Park,335,15.26,4
Outside of NYC,Meatpacking/West Village West,335,12.23,4
Outside of NYC,Penn Station/Madison Sq West,336,13.48,4
Outside of NYC,Elmhurst,349,13.19,4
Outside of NYC,Central Harlem,354,15.05,4
Outside of NYC,East Harlem South,356,13.26,4
Outside of NYC,Lenox Hill West,360,13.51,4
Outside of NYC,Mott Haven/Port Morris,362,13.38,4
Outside of NYC,Flatiron,368,14.11,4
Outside of NYC,Clinton Hill,368,13.48,4
Outside of NYC,Flatbush/Ditmas Park,369,12.77,4
Crown Heights North,LaGuardia Airport,381,4.77,4
Outside of NYC,Upper West Side South,383,13.11,4
Outside of NYC,Canarsie,388,12.73,4
Outside of NYC,Jamaica,396,14.18,4
Crown Heights North,JFK Airport,403,5.33,4
Outside of NYC,Washington Heights South,413,12.86,4
Outside of NYC,Jackson Heights,421,13.37,4
Outside of NYC,Central Harlem North,423,13.72,4
Outside of NYC,Greenwich Village South,424,13.84,4
Outside of NYC,Greenwich Village North,428,14.1,4
Outside of NYC,Fort Greene,428,12.34,4
Outside of NYC,Little Italy/NoLiTa,432,12.95,4
Outside of NYC,Gramercy,434,14.08,4
Outside of NYC,Williamsburg (South Side),450,13.36,4
LaGuardia Airport,JFK Airport,451,9.8,4
Outside of NYC,Bedford,455,13.36,4
Outside of NYC,Stuyvesant Heights,459,12.97,4
Outside of NYC,Long Island City/Hunters Point,461,13.34,4
Outside of NYC,Upper East Side North,465,12.83,4
Outside of NYC,Lincoln Square East,471,13.29,4
Outside of NYC,East Williamsburg,474,13.35,4
Outside of NYC,Prospect-Lefferts Gardens,475,12.39,4
Outside of NYC,Bushwick North,489,14.15,4
Outside of NYC,Clinton East,492,14.67,4
Outside of NYC,Park Slope,503,14.54,4
Outside of NYC,Greenpoint,513,13.45,4
Outside of NYC,Upper East Side South,529,13.09,4
Outside of NYC,Murray Hill,531,13.91,4
Outside of NYC,Midtown East,533,14.49,4
Outside of NYC,West Village,538,13.67,4
Outside of NYC,East New York,560,13.69,4
Outside of NYC,Midtown South,565,13.55,4
Outside of NYC,Astoria,574,12.25,4
Outside of NYC,Midtown North,580,13.23,4
Outside of NYC,Williamsburg (North Side),582,13.55,4
Outside of NYC,Bushwick South,594,13.12,4
Outside of NYC,Lower East Side,602,12.69,4
Outside of NYC,Union Sq,609,14.53,4
Outside of NYC,West Chelsea/Hudson Yards,647,13.71,4
Outside of NYC,TriBeCa/Civic Center,650,12.68,4
Outside of NYC,East Chelsea,664,13.2,4
Outside of NYC,Crown Heights North,712,13.38,4
Outside of NYC,Midtown Center,753,14.9,4
Outside of NYC,East Village,803,13.67,4
Outside of NYC,Times Sq/Theatre District,810,14.76,4
Outside of NYC,JFK Airport,1122,15.67,4
Outside of NYC,LaGuardia Airport,1175,14.98,4
Outside of NYC,Ridgewood,317,13.62,3
Outside of NYC,Upper West Side South,325,14.18,3
Outside of NYC,Downtown Brooklyn/MetroTech,326,12.99,3
Crown Heights North,LaGuardia Airport,329,4.71,3
Outside of NYC,Kips Bay,330,13.37,3
Outside of NYC,Lenox Hill West,331,14.14,3
Outside of NYC,South Ozone Park,334,15.2,3
Outside of NYC,Mott Haven/Port Morris,335,14.45,3
Outside of NYC,Central Harlem,336,13.09,3
Outside of NYC,Forest Hills,338,12.9,3
Outside of NYC,Brownsville,338,14.17,3
Outside of NYC,Financial District North,338,13.17,3
Outside of NYC,East Harlem South,339,13.19,3
Outside of NYC,Garment District,345,12.37,3
Outside of NYC,SoHo,353,12.86,3
Outside of NYC,Clinton Hill,359,13.42,3
LaGuardia Airport,East New York,362,7.86,3
Outside of NYC,Canarsie,364,13.16,3
Outside of NYC,Greenwich Village North,364,13.26,3
Outside of NYC,East Harlem North,365,13.61,3
Outside of NYC,Meatpacking/West Village West,370,12.0,3
Outside of NYC,Fort Greene,371,14.76,3
Outside of NYC,Elmhurst,371,11.74,3
Outside of NYC,Upper East Side North,375,12.08,3
Outside of NYC,Penn Station/Madison Sq West,377,12.69,3
Crown Heights North,JFK Airport,382,5.65,3
Outside of NYC,Jamaica,383,12.71,3
Outside of NYC,Jackson Heights,404,13.11,3
Outside of NYC,Flatiron,419,12.8,3
Outside of NYC,East Williamsburg,419,12.84,3
Outside of NYC,Washington Heights South,420,13.05,3
Outside of NYC,Little Italy/NoLiTa,420,13.53,3
LaGuardia Airport,JFK Airport,420,9.21,3
Outside of NYC,Prospect-Lefferts Gardens,427,13.26,3
Outside of NYC,Bushwick North,437,13.5,3
Outside of NYC,Lincoln Square East,438,13.04,3
Outside of NYC,Central Harlem North,441,13.55,3
Outside of NYC,Upper East Side South,441,11.42,3
Outside of NYC,Greenwich Village South,446,14.52,3
Outside of NYC,Long Island City/Hunters Point,447,13.88,3
Outside of NYC,Flatbush/Ditmas Park,460,13.28,3
Outside of NYC,Gramercy,460,13.87,3
Outside of NYC,Midtown East,484,13.36,3
Outside of NYC,Stuyvesant Heights,489,12.85,3
Outside of NYC,Park Slope,494,14.2,3
Outside of NYC,Greenpoint,495,13.33,3
Outside of NYC,Midtown North,505,13.15,3
Outside of NYC,Williamsburg (South Side),507,13.43,3
Outside of NYC,Clinton East,510,13.47,3
Outside of NYC,Bedford,538,13.05,3
Outside of NYC,Murray Hill,539,12.1,3
Outside of NYC,Bushwick South,539,12.25,3
Outside of NYC,Astoria,543,12.33,3
Outside of NYC,Williamsburg (North Side),597,12.73,3
Outside of NYC,Midtown South,607,13.31,3
Outside of NYC,East New York,615,12.64,3
Outside of NYC,TriBeCa/Civic Center,628,13.78,3
Outside of NYC,East Chelsea,631,14.02,3
Outside of NYC,West Chelsea/Hudson Yards,648,12.59,3
Outside of NYC,West Village,648,12.05,3
Outside of NYC,Union Sq,653,12.44,3
Outside of NYC,Lower East Side,677,13.28,3
Outside of NYC,Times Sq/Theatre District,746,13.66,3
Outside of NYC,Crown Heights North,771,13.09,3
Outside of NYC,East Village,781,13.19,3
Outside of NYC,Midtown Center,792,13.53,3
Outside of NYC,JFK Airport,980,15.61,3
Outside of NYC,LaGuardia Airport,1109,14.58,3
JFK Airport,TriBeCa/Civic Center,317,11.85,5
JFK Airport,East Village,322,10.67,5
JFK Airport,Astoria,324,11.27,5
Midtown Center,JFK Airport,324,6.09,5
JFK Airport,East New York,330,13.06,5
JFK Airport,Times Sq/Theatre District,345,11.87,5
JFK Airport,Midtown Center,364,11.83,5
JFK Airport,Crown Heights North,396,11.78,5
JFK Airport,LaGuardia Airport,552,11.14,5
JFK Airport,East Village,316,10.09,10
JFK Airport,TriBeCa/Civic Center,316,10.77,10
JFK Airport,Times Sq/Theatre District,316,11.66,10
JFK Airport,Crown Heights North,318,11.85,10
JFK Airport,Midtown Center,325,10.9,10
Midtown Center,JFK Airport,327,5.73,10
JFK Airport,LaGuardia Airport,456,12.09,10
Midtown South,LaGuardia Airport,319,5.53,9
Midtown Center,LaGuardia Airport,320,4.81,9
JFK Airport,Times Sq/Theatre District,328,10.88,9
JFK Airport,East New York,329,11.34,9
JFK Airport,Crown Heights North,335,11.76,9
JFK Airport,LaGuardia Airport,521,11.94,9
West Chelsea/Hudson Yards,LaGuardia Airport,339,5.62,5
Times Sq/Theatre District,JFK Airport,362,6.64,5
West Chelsea/Hudson Yards,JFK Airport,375,6.46,5
Times Sq/Theatre District,LaGuardia Airport,408,5.62,5
Times Sq/Theatre District,JFK Airport,328,6.21,9
West Chelsea/Hudson Yards,LaGuardia Airport,352,4.45,9
Times Sq/Theatre District,LaGuardia Airport,371,5.98,9
JFK Airport,East New York,318,11.98,6
JFK Airport,East Chelsea,319,11.64,6
JFK Airport,Bushwick South,327,11.21,6
JFK Airport,Times Sq/Theatre District,346,11.39,6
JFK Airport,Crown Heights North,370,11.67,6
JFK Airport,LaGuardia Airport,454,12.24,6
JFK Airport,Times Sq/Theatre District,332,11.12,8
JFK Airport,Bushwick South,349,10.43,8
JFK Airport,East Village,357,10.64,8
JFK Airport,Crown Heights North,357,11.01,8
JFK Airport,East New York,368,10.36,8
JFK Airport,LaGuardia Airport,575,11.94,8
Midtown Center,JFK Airport,314,5.57,1
JFK Airport,East New York,316,10.93,1
JFK Airport,Times Sq/Theatre District,336,11.08,1
JFK Airport,LaGuardia Airport,436,11.26,1
JFK Airport,East Village,313,10.98,7
JFK Airport,Bushwick South,333,11.21,7
JFK Airport,Times Sq/Theatre District,354,11.66,7
JFK Airport,Crown Heights North,373,10.99,7
JFK Airport,LaGuardia Airport,509,11.27,7
Times Sq/Theatre District,JFK Airport,319,6.36,6
West Chelsea/Hudson Yards,LaGuardia Airport,354,4.68,6
Midtown Center,LaGuardia Airport,312,4.99,12
JFK Airport,Crown Heights North,326,11.36,12
JFK Airport,Astoria,335,11.15,12
JFK Airport,East New York,351,11.18,12
JFK Airport,LaGuardia Airport,449,11.71,12
East Chelsea,LaGuardia Airport,313,5.93,9
Williamsburg (North Side),LaGuardia Airport,319,5.59,9
JFK Airport,East Village,318,10.57,2
JFK Airport,Crown Heights North,321,10.95,2
JFK Airport,East New York,345,11.42,2
JFK Airport,LaGuardia Airport,406,11.75,2
Times Sq/Theatre District,JFK Airport,319,6.64,8
Times Sq/Theatre District,LaGuardia Airport,345,5.47,8
Times Sq/Theatre District,LaGuardia Airport,321,5.4,7
Times Sq/Theatre District,JFK Airport,337,6.87,7
Times Sq/Theatre District,JFK Airport,317,7.2,10
Greenpoint,JFK Airport,322,6.99,10
East Chelsea,LaGuardia Airport,330,4.86,5
Union Sq,LaGuardia Airport,335,5.15,5
East Chelsea,JFK Airport,318,6.82,7
East Chelsea,LaGuardia Airport,328,4.78,7
Times Sq/Theatre District,JFK Airport,346,6.0,1
East Chelsea,LaGuardia Airport,332,4.96,8
East Chelsea,JFK Airport,320,5.55,1
East New York,JFK Airport,320,5.2,4
JFK Airport,TriBeCa/Civic Center,328,11.31,4
JFK Airport,East New York,329,10.25,4
JFK Airport,Crown Heights North,350,11.05,4
JFK Airport,LaGuardia Airport,516,12.07,4
JFK Airport,Midtown Center,314,10.23,3
JFK Airport,Crown Heights North,325,11.35,3
JFK Airport,East Village,329,11.07,3
JFK Airport,East New York,334,11.09,3
JFK Airport,LaGuardia Airport,397,12.21,3
JFK Airport,Crown Heights North,313,11.47,11
JFK Airport,LaGuardia Airport,440,11.76,11
Times Sq/Theatre District,LaGuardia Airport,332,5.92,11
Times Sq/Theatre District,LaGuardia Airport,323,6.04,4
East Chelsea,LaGuardia Airport,342,4.43,4
